seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8052344601962923,0.814845531826664,0.8044057304044226,0.8277169334456613,"[[3454  968]
 [ 818 3930]]",0.6441491916119737,0.2990078686281218,0.3451413229838519,0.46419039645126164,0.8608422704682187,0.6908108108108109,0.17003145965740785,0.7975028013446455,0.8217584673280875,-0.024255665983442087
1,0.8021810250817885,0.8143295803480042,0.8008670936502293,0.8378264532434709,"[[3378 1044]
 [ 770 3978]]",0.6609232769830949,0.3167660702451955,0.34415720673789946,0.47927812694255845,0.8776539278131635,0.6846938775510204,0.19296005026214313,0.8016905071521456,0.8031809145129225,-0.0014904073607768797
2,0.806434023991276,0.8142333856619571,0.8059600519269319,0.8192923336141533,"[[3505  917]
 [ 858 3890]]",0.6356067883445405,0.2862517099863201,0.34935507835822044,0.4503597432177721,0.8594366938668071,0.6585879873551106,0.2008487065116965,0.8016330451488953,0.8166894664842681,-0.015056421335372772
3,0.8014176663031625,0.8136703161772229,0.8000911236114747,0.8374052232518955,"[[3373 1049]
 [ 772 3976]]",0.6542715178714538,0.32173319686113955,0.3325383210103142,0.49174262989138895,0.8740095087163233,0.6933471933471933,0.18066231536913002,0.7996473793877223,0.8051859433640396,-0.005538563976317246
4,0.8100327153762268,0.8207450092611648,0.8089305711619584,0.8399326032013479,"[[3440  982]
 [ 760 3988]]",0.6487583184547963,0.3233632436025258,0.3253950748522705,0.49843406150491903,0.8751991502920871,0.7046843177189409,0.17051483257314615,0.8099334523616296,0.8102359587902958,-0.0003025064286661383
5,0.8006543075245365,0.8092654424040067,0.8000604505998765,0.8167649536647009,"[[3464  958]
 [ 870 3878]]",0.6491085899513777,0.277,0.37210858995137763,0.4267390761548065,0.8628330255869164,0.6342737722048067,0.2285592533821097,0.7967585089141005,0.8086666666666666,-0.01190815775256615
6,0.8073064340239913,0.8165680473372781,0.8065307890355985,0.8283487784330245,"[[3470  952]
 [ 815 3933]]",0.6427419354838709,0.30303030303030304,0.3397116324535679,0.4714649633093799,0.8634803274359651,0.6899063475546305,0.1735739798813346,0.8012903225806451,0.8198653198653199,-0.01857499728467471
7,0.8002181025081788,0.8117550349362925,0.7990491937951355,0.8319292333614153,"[[3388 1034]
 [ 798 3950]]",0.649365440937195,0.32837301587301587,0.3209924250641791,0.5056829254711991,0.8590285110876452,0.725,0.13402851108764524,0.7931988285063456,0.814484126984127,-0.021285298477781378
8,0.8061068702290076,0.8167010309278352,0.805069629641484,0.8342459983150801,"[[3431  991]
 [ 787 3961]]",0.647643475472908,0.31105047748976805,0.33659299798313996,0.48028041549038936,0.8742021276595745,0.6821862348178138,0.19201589284176068,0.8034626482847066,0.8117326057298773,-0.008269957445170673
9,0.8037077426390403,0.8132392612575222,0.8029081349018101,0.8254001684919966,"[[3451  971]
 [ 829 3919]]",0.6414910858995138,0.31066666666666665,0.3308244192328471,0.48428836112514734,0.8710280373831776,0.6550348953140578,0.2159931420691198,0.8089141004862237,0.793,0.01591410048622366
