seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8073064340239913,0.8189734658334188,0.8060339243508274,0.8418281381634373,"[[3406 1016]
 [ 751 3997]]",0.6572754922362735,0.31029763941156346,0.34697785282471,0.4720967738441395,0.8739210044467696,0.7091891891891892,0.1647318152575804,0.8003841844085161,0.8221005815942525,-0.02171639718573637
1,0.8005452562704471,0.8109560723514212,0.7995980216098035,0.8262426284751474,"[[3418 1004]
 [ 825 3923]]",0.6501950585175552,0.3071570576540755,0.3430380008634797,0.4724075546719682,0.8670382165605095,0.6693877551020408,0.19765046145846865,0.7994148244473342,0.8028495692511597,-0.0034347448038254402
2,0.8037077426390403,0.812186978297162,0.8031177496906979,0.8197135636057288,"[[3478  944]
 [ 856 3892]]",0.6348062760166506,0.2978796169630643,0.3369266590535863,0.4692449148931399,0.8570676493814161,0.6701791359325606,0.1868885134488555,0.7995517130963817,0.8125854993160054,-0.0130337862196237
3,0.8022900763358779,0.8152450830530927,0.8008093674234327,0.8424599831508003,"[[3357 1065]
 [ 748 4000]]",0.6637281615643532,0.31525076765609006,0.34847739390826316,0.47496970282693696,0.8824617010036978,0.685031185031185,0.19743051597251282,0.8004487898701715,0.8062094848174685,-0.005760694947296918
4,0.8097055616139586,0.8187766123169592,0.8089484796283575,0.8302443133951137,"[[3483  939]
 [ 806 3942]]",0.639668884921279,0.31239614489863743,0.3272727400226416,0.48837164392806526,0.8669676048858205,0.6894093686354379,0.17755823625038258,0.8089595844830385,0.8112329677633765,-0.0022733832803379928
5,0.8032715376226827,0.8110203226482295,0.8028284993810147,0.815290648694187,"[[3495  927]
 [ 877 3871]]",0.6437601296596435,0.2753333333333333,0.36842679632631015,0.4276955354145686,0.8588762859403851,0.6426332288401254,0.2162430571002597,0.7972447325769854,0.8156666666666667,-0.01842193408968129
6,0.80567066521265,0.8169303472364907,0.8045008929466172,0.8374052232518955,"[[3412 1010]
 [ 772 3976]]",0.646774193548387,0.32861952861952864,0.3181546649288584,0.5080900442496453,0.8677053076313704,0.7180020811654526,0.14970322646591783,0.8024193548387096,0.8124579124579124,-0.010038557619202804
7,0.8001090512540894,0.8110893538081005,0.7990525754470352,0.8287700084245998,"[[3402 1020]
 [ 813 3935]]",0.6449723397331598,0.32771164021164023,0.3172606995215196,0.5081018518518519,0.8558606124604012,0.721875,0.1339856124604012,0.7936869508623495,0.8131613756613757,-0.01947442479902617
8,0.8051254089422029,0.8156401526875066,0.8041140986497397,0.8325610783487785,"[[3430  992]
 [ 795 3953]]",0.6439563962808592,0.3165075034106412,0.327448892870218,0.4915045572007916,0.8707446808510638,0.687246963562753,0.18349771728831077,0.8029817249118307,0.8096862210095498,-0.006704496097719059
9,0.806434023991276,0.8169536970196969,0.8054088426672642,0.8342459983150801,"[[3434  988]
 [ 787 3961]]",0.6481361426256078,0.31666666666666665,0.33146947595894116,0.4885804784529465,0.8777036048064085,0.6719840478564307,0.2057195569499778,0.8103727714748784,0.7983333333333333,0.012039438141545067
10,0.8075245365321702,0.8176841235409565,0.8065628432852968,0.8336141533277169,"[[3447  975]
 [ 790 3958]]",0.6415517794164797,0.3175306957708049,0.3240210836456748,0.4949416492299552,0.8698993110757817,0.6930184804928131,0.17688083058296855,0.8060275729400449,0.8107094133697135,-0.004681840429668571
11,0.8105779716466739,0.8192695869316409,0.8098918652506022,0.8291912384161753,"[[3496  926]
 [ 811 3937]]",0.6433224755700325,0.30132013201320135,0.3420023435568312,0.4683811672306472,0.8723347547974414,0.6666666666666666,0.20566808813077475,0.8117263843648208,0.8082508250825082,0.003475559282312579
12,0.806434023991276,0.8177430947735906,0.8052458089425736,0.8386689132266217,"[[3413 1009]
 [ 766 3982]]",0.6508241318610978,0.31633002396439575,0.33449410789670203,0.4860453208147305,0.8736452550885541,0.7015544041450777,0.17209085094347631,0.8015682509201473,0.8168435467305717,-0.015275295810424416
13,0.802071973827699,0.8166110942709911,0.8002649214675646,0.8510951979780961,"[[3314 1108]
 [ 707 4041]]",0.6695750525125223,0.3371351895337135,0.33243986297880873,0.5035061988475272,0.8865379529225073,0.7125129265770423,0.1740250263454649,0.8027144934561319,0.8007380073800738,0.0019764860760580483
14,0.7998909487459106,0.8096670469868271,0.799074865772234,0.8220303285593934,"[[3432  990]
 [ 845 3903]]",0.6404765738206408,0.30922608989523487,0.33125048392540596,0.48280624543471684,0.8551869404949973,0.6894736842105263,0.16571325628447098,0.7939140235066817,0.8124366339979723,-0.01852261049129056
15,0.8014176663031625,0.815220700152207,0.7997728196727932,0.8460404380791913,"[[3332 1090]
 [ 731 4017]]",0.6669354838709678,0.32727272727272727,0.3396627565982405,0.4907112234802682,0.8852848101265823,0.6903765690376569,0.19490824108892546,0.8043548387096774,0.7952861952861953,0.009068643423482126
16,0.8035986913849509,0.8161306789178152,0.802189510058652,0.8418281381634373,"[[3372 1050]
 [ 751 3997]]",0.6549520766773163,0.3254295532646048,0.32952252341271143,0.4968753666918113,0.8836594394500265,0.6780538302277432,0.20560560922228321,0.8086261980830671,0.7927835051546391,0.015842692928427993
17,0.8059978189749182,0.817332374987165,0.8048090519295991,0.8382476832350463,"[[3411 1011]
 [ 768 3980]]",0.6521459572416011,0.31671753136656494,0.33542842587503613,0.4856543659431601,0.8710968775020016,0.7152847152847153,0.15581216221728633,0.7948882816267481,0.8294337063411326,-0.03454542471438449
18,0.8003271537622683,0.8118771190794205,0.7991545012930293,0.832139848357203,"[[3388 1034]
 [ 797 3951]]",0.6538024971623155,0.3173493173493174,0.33645317981299816,0.48539018851518856,0.8771459227467812,0.6676470588235294,0.2094988639232518,0.8021728555213232,0.7965367965367965,0.005636058984526682
