seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7729552889858233,0.7774690038477982,0.7732114204957445,0.7660067396798652,"[[3451  971]
 [1111 3637]]",0.6183768208740196,0.2548751282928498,0.36350169258116977,0.4121679851010698,0.8166361496207167,0.5567567567567567,0.25987939286396,0.7691692012165839,0.7810468696544646,-0.011877668437880629
1,0.760959651035987,0.7557388009806107,0.7626834331825594,0.714195450716091,"[[3587  835]
 [1357 3391]]",0.6197984395318595,0.13684559310801855,0.48295284642384095,0.22079047699987678,0.8115711252653928,0.33979591836734696,0.4717752068980458,0.7618660598179454,0.7591119946984758,0.0027540651194696286
2,0.42366412213740456,0.3445367729133077,0.4284973520236757,0.29254422914911543,"[[2496 1926]
 [3359 1389]]",0.30883765609990393,0.4740082079343365,-0.16517055183443258,1.5348135130937615,0.23374572255856804,0.5279241306638567,-0.2941784081052886,0.36727505603586297,0.5441176470588235,-0.17684259102296052
3,0.5002181025081789,0.6194469816490908,0.48969882150860156,0.7855939342881213,"[[ 857 3565]
 [1018 3730]]",0.7142170219586472,0.9686113954281815,-0.2543943734695343,1.3561863770368996,0.7350765979926044,0.9844074844074844,-0.24933088641488,0.5710851097932361,0.3493688161037189,0.22171629368951723
4,0.6725190839694657,0.6580894910622794,0.6748723640737875,0.6086773378264533,"[[3277 1145]
 [1858 2890]]",0.4827138451550073,0.352608840146228,0.1301050050087793,0.7304717767790554,0.61311736590547,0.5916496945010183,0.021467671404451605,0.6555753936049342,0.7072116982386175,-0.051636304633683294
5,0.7694656488549618,0.7796080066722268,0.7688012701294019,0.7874894692502106,"[[3317 1105]
 [1009 3739]]",0.6606158833063209,0.256,0.4046158833063209,0.38751717369970556,0.8541281983645476,0.5235109717868338,0.33061722657771375,0.7745542949756888,0.759,0.015554294975688832
6,0.7984732824427481,0.8038632986627043,0.7985055099016672,0.7975989890480202,"[[3535  887]
 [ 961 3787]]",0.6285483870967742,0.26161616161616164,0.36693222548061255,0.4162227872774447,0.8465804066543438,0.6045785639958376,0.2420018426585061,0.7948387096774193,0.806060606060606,-0.011221896383186714
7,0.8001090512540894,0.8142668963420814,0.798408204058973,0.8462510530749789,"[[3319 1103]
 [ 730 4018]]",0.6775138301334201,0.31646825396825395,0.3610455761651662,0.46710227879176003,0.8817317845828934,0.70625,0.17548178458289332,0.7930361210543443,0.814484126984127,-0.021448005929782687
8,0.7929116684841876,0.7985573353134614,0.7929174492094937,0.7927548441449032,"[[3507  915]
 [ 984 3764]]",0.6274446938121193,0.26091405184174626,0.36653064197037305,0.41583593648155676,0.8523936170212766,0.5657894736842105,0.2866041433370661,0.7973709522282783,0.7834242837653479,0.013946668462930356
9,0.7339149400218102,0.7593688362919132,0.7310783716403049,0.8108677337826453,"[[2880 1542]
 [ 898 3850]]",0.6575364667747163,0.445,0.21253646677471633,0.6767685481883166,0.837917222963952,0.7098703888334995,0.12804683413045248,0.7526742301458671,0.6953333333333334,0.05734089681253374
10,0.7166848418756816,0.7316115702479339,0.7156120770887083,0.745787700084246,"[[3031 1391]
 [1207 3541]]",0.6207117665918563,0.3615279672578445,0.25918379933401187,0.5824409761762485,0.7771595124536301,0.6242299794661191,0.152929532987511,0.7146521320936198,0.7210095497953616,-0.006357417701741808
11,0.8086150490730644,0.8186421411594503,0.8076702628391321,0.8342459983150801,"[[3454  968]
 [ 787 3961]]",0.65,0.3095709570957096,0.34042904290429044,0.47626301091647627,0.8765991471215352,0.6746987951807228,0.20190035194081235,0.8102605863192183,0.8052805280528053,0.004980058266413012
12,0.5667393675027262,0.6825409508589693,0.5544720774621188,0.899536647009267,"[[ 926 3496]
 [ 477 4271]]",0.8687790046407425,0.8004108182129408,0.06836818642780174,0.9213054343364647,0.9095955590800952,0.8601036269430051,0.04949193213709002,0.6271403424547928,0.437521396781924,0.1896189456728688
13,0.7753544165757906,0.7848339252141218,0.7747673614008537,0.7912805391743892,"[[3353 1069]
 [ 991 3757]]",0.6542252383260624,0.2606507883260651,0.3935744499999973,0.3984113926772084,0.856651679449881,0.5356773526370218,0.3209743268128592,0.7815479075779609,0.7624958067762496,0.01905210080171127
