seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.783969465648855,0.7974230493915533,0.7825975525603963,0.8211878685762426,"[[3290 1132]
 [ 849 3899]]",0.658556106931327,0.31371878207321247,0.3448373248581146,0.47637365863183234,0.8584880983520795,0.667027027027027,0.19146107132505252,0.7802145029614215,0.7919945261717414,-0.011780023210319901
1,0.760959651035987,0.7562277580071175,0.7626135615862634,0.7160909856781803,"[[3578  844]
 [1348 3400]]",0.621261378413524,0.13982770046388338,0.48143367794964065,0.22507064710984054,0.8128980891719745,0.3438775510204082,0.4690205381515663,0.7620286085825748,0.7587806494367131,0.003247959145861734
2,0.6581243184296619,0.7372831643341994,0.6482318532938431,0.9264953664700927,"[[1636 2786]
 [ 349 4399]]",0.8533461415305795,0.634404924760602,0.21894121676997758,0.7434321125806229,0.9541984732824428,0.815595363540569,0.13860310974187373,0.6991674671789946,0.5704514363885089,0.12871603079048566
3,0.6011995637949836,0.7154749863845016,0.5876638481788805,0.968407750631845,"[[ 915 3507]
 [ 150 4598]]",0.9129668216060266,0.8219037871033776,0.09106303450264897,0.9002559213023127,0.9817749603803486,0.9158004158004158,0.06597454457993279,0.6717422663888444,0.45104060047765265,0.22070166591119172
4,0.6697928026172301,0.6392661424827257,0.6736526355737587,0.5650800336983993,"[[3459  963]
 [2065 2683]]",0.4315857815289726,0.32801595214356927,0.10356982938540332,0.7600249270991087,0.5671800318640468,0.5570264765784114,0.01015355528563533,0.6505437428988801,0.709205716184779,-0.05866197328589895
5,0.774918211559433,0.7860696517412935,0.7740433544919959,0.7986520640269588,"[[3314 1108]
 [ 956 3792]]",0.6696920583468395,0.256,0.41369205834683953,0.38226524685382385,0.8659984173041414,0.5318704284221526,0.3341279888819888,0.780064829821718,0.7643333333333333,0.015731496488384678
6,0.8005452562704471,0.8093401438548942,0.7999163255484849,0.8176074136478517,"[[3459  963]
 [ 866 3882]]",0.6440322580645161,0.2868686868686869,0.35716357119582925,0.44542596007659874,0.8603115922894111,0.6493236212278877,0.21098797106152345,0.7961290322580645,0.8097643097643098,-0.013635277506245269
7,0.8005452562704471,0.8157178841309823,0.79862758277236,0.8525695029486099,"[[3293 1129]
 [ 700 4048]]",0.6823950536934592,0.32506613756613756,0.35732891612732165,0.47636062982391064,0.8862196409714889,0.7197916666666667,0.16642797430482215,0.7936869508623495,0.814484126984127,-0.02079717612177745
8,0.7957470010905126,0.802821349615749,0.7954768834086442,0.8030749789385004,"[[3484  938]
 [ 935 3813]]",0.6349791599871754,0.2694406548431105,0.36553850514406483,0.4243299179276252,0.8598404255319149,0.5870445344129555,0.2727958911189594,0.7988137223469061,0.7892223738062756,0.009591348540630484
9,0.7412213740458016,0.7624386825508058,0.7389801966654437,0.802021903959562,"[[2989 1433]
 [ 940 3808]]",0.6445705024311184,0.42133333333333334,0.22323716909778502,0.6536652418070572,0.8296395193591455,0.6989032901296112,0.13073622922953432,0.7555915721231766,0.7116666666666667,0.043924905456509955
10,0.7304252998909487,0.7509570824098327,0.7284150111813605,0.7849620893007582,"[[2971 1451]
 [1021 3727]]",0.6548573260660469,0.3727830832196453,0.28207424284640154,0.5692584756729859,0.8214096449390567,0.6437371663244353,0.17767247861462132,0.7340493747996153,0.7227148703956344,0.011334504403980872
11,0.816793893129771,0.825653798256538,0.8160186088017445,0.8378264532434709,"[[3512  910]
 [ 770 3978]]",0.6465798045602605,0.30297029702970296,0.3436095075305576,0.4685737087562661,0.8781982942430704,0.6857429718875502,0.1924553223555202,0.8156351791530945,0.8191419141914191,-0.00350673503832466
