seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8105779716466739,0.8216082982438122,0.8094027640765308,0.8424599831508003,"[[3433  989]
 [ 748 4000]]",0.6529534176404674,0.3113239822100581,0.3416294354304093,0.4767935564761542,0.8733978550876276,0.7145945945945946,0.1588032604930329,0.8040659516567953,0.8244953814574068,-0.0204294298006114
1,0.8011995637949837,0.8120037124883984,0.8001677585115702,0.8291912384161753,"[[3410 1012]
 [ 811 3937]]",0.6514954486345904,0.3117958913187541,0.3396995573158363,0.4785849110261914,0.8680997876857749,0.6795918367346939,0.1885079509510809,0.7994148244473342,0.8048376408217363,-0.005422816374402
2,0.8034896401308615,0.8139582903159198,0.8025034321385339,0.8302443133951137,"[[3426  996]
 [ 806 3942]]",0.649215497918668,0.301983584131327,0.347231913787341,0.4651515330417431,0.8694393261384575,0.6733403582718651,0.1960989678665924,0.8001921229586936,0.8105335157318742,-0.0103413927731805
3,0.7990185387131952,0.810371437390678,0.7978985748290027,0.8294018534119629,"[[3389 1033]
 [ 810 3938]]",0.6433723353101458,0.3265097236438076,0.3168626116663382,0.507497300900278,0.8637083993660856,0.6943866943866944,0.1693217049793911,0.7980445584228242,0.8010917775503241,-0.0030472191274999
4,0.8124318429661941,0.8243822748621604,0.8110377213267354,0.8502527379949453,"[[3413 1009]
 [ 711 4037]]",0.6589839311800032,0.327683615819209,0.3313003153607942,0.4972558514931396,0.8863515666489644,0.7118126272912424,0.174538939357722,0.8133419899366986,0.810568295114656,0.0027736948220425
5,0.8029443838604144,0.8128430864836872,0.8020778202881588,0.8264532434709352,"[[3439  983]
 [ 824 3924]]",0.6486223662884927,0.3016666666666667,0.346955699621826,0.465088289188739,0.8636243735162227,0.6792058516196448,0.1844185218965779,0.7982171799027553,0.8126666666666666,-0.0144494867639113
6,0.8088331515812431,0.8190731757663329,0.8078420602814219,0.8357203032855939,"[[3449  973]
 [ 780 3968]]",0.6512903225806451,0.304040404040404,0.347249918540241,0.4668277625186987,0.8721943490889886,0.6919875130072841,0.1802068360817045,0.8033870967741935,0.8202020202020202,-0.0168149234278266
7,0.8023991275899672,0.8149887686338575,0.800992310028322,0.840564448188711,"[[3367 1055]
 [ 757 3991]]",0.660754962577286,0.3257275132275132,0.3350274493497728,0.4929626437567831,0.869324181626188,0.7270833333333333,0.1422408482928546,0.794500488122356,0.8184523809523809,-0.0239518928300249
8,0.8061068702290076,0.815099833610649,0.8053956970908649,0.8254001684919966,"[[3473  949]
 [ 829 3919]]",0.6425136261622315,0.2933151432469304,0.3491984829153011,0.4565119420095688,0.8699468085106383,0.6558704453441295,0.2140763631665088,0.8034626482847066,0.8117326057298773,-0.0082699574451706
9,0.8051254089422029,0.8176344524951525,0.8037026325826638,0.8437236731255265,"[[3377 1045]
 [ 742 4006]]",0.6611021069692058,0.324,0.3371021069692058,0.490090708506987,0.8867823765020026,0.6829511465603191,0.2038312299416835,0.8084278768233387,0.7983333333333333,0.0100945434900053
10,0.8101417666303162,0.8203858454554833,0.8091368042989464,0.8374052232518955,"[[3453  969]
 [ 772 3976]]",0.647162552100032,0.3096862210095498,0.3374763310904822,0.4785292659543155,0.8770535241123476,0.6837782340862423,0.1932752900261053,0.8090734209682591,0.8124147339699863,-0.0033413130017272
11,0.8103598691384951,0.8173511185799811,0.8100228447255947,0.819502948609941,"[[3540  882]
 [ 857 3891]]",0.6311074918566775,0.2963696369636964,0.3347378548929811,0.4696024699244118,0.8624733475479744,0.6576305220883534,0.204842825459621,0.8118892508143323,0.8072607260726072,0.004628524741725
12,0.8035986913849509,0.8122197893858826,0.8029813881500059,0.8203454085930918,"[[3474  948]
 [ 853 3895]]",0.6329012642022723,0.3040054775761725,0.3288957866260998,0.4803363411816693,0.8569918054454136,0.6766839378238342,0.1803078676215794,0.799327892462794,0.812735364601164,-0.01340747213837
13,0.8037077426390403,0.8116760828625236,0.8032186753297921,0.8169755686604886,"[[3491  931]
 [ 869 3879]]",0.6330586524478914,0.2992284468299228,0.3338302056179685,0.4726709692267464,0.8553292779687913,0.6670113753877973,0.188317902580994,0.8010987235417677,0.8091244548809124,-0.0080257313391447
14,0.8045801526717558,0.816205128205128,0.8033468923285845,0.8380370682392586,"[[3399 1023]
 [ 769 3979]]",0.6562550313959105,0.312943562014194,0.3433114693817164,0.4768627241585277,0.8741442864665614,0.6936842105263158,0.1804600759402456,0.8013202382869103,0.8114227779655289,-0.0101025396786185
15,0.8065430752453653,0.8183493753839852,0.8052501908013735,0.8416175231676495,"[[3400 1022]
 [ 752 3996]]",0.6561290322580645,0.3198653198653198,0.3362637123927446,0.4875036831772328,0.879746835443038,0.6903765690376569,0.1893702664053811,0.8083870967741935,0.8026936026936027,0.0056934940805908
16,0.804143947655398,0.8151883103519243,0.8030343514868028,0.8342459983150801,"[[3413 1009]
 [ 787 3961]]",0.6472843450479233,0.3154639175257732,0.3318204275221501,0.4873652822584748,0.8757271285034374,0.6718426501035196,0.2038844783999177,0.8067092651757188,0.7986254295532647,0.0080838356224541
17,0.8061068702290076,0.8168520807581378,0.8050385755986856,0.8350884582982309,"[[3427  995]
 [ 783 3965]]",0.6447516476450731,0.321804001356392,0.3229476462886811,0.4991131120513873,0.8665599145983454,0.7172827172827173,0.149277197315628,0.7968172319562771,0.8257036283485928,-0.0288863963923157
18,0.7988004362050164,0.8083913178938622,0.7980295543039951,0.8197135636057288,"[[3433  989]
 [ 856 3892]]",0.6465055942922004,0.2977022977022977,0.3488032965899027,0.4604790744745598,0.8666845493562232,0.6480392156862745,0.2186453336699486,0.7968217934165721,0.8028638028638029,-0.0060420094472307
19,0.8023991275899672,0.8111319574734208,0.8017686610982767,0.819502948609941,"[[3467  955]
 [ 857 3891]]",0.6346863468634686,0.303030303030303,0.3316560438331655,0.4774489076814658,0.8612147043153969,0.6619718309859155,0.1992428733294814,0.8004171346061286,0.8066053796390875,-0.0061882450329588
