seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8184296619411123,0.829037888900298,0.8172566267993723,0.8502527379949453,"[[3468  954]
 [ 711 4037]]",0.6523131102929406,0.3133766678070475,0.338936442485893,0.4804083543044481,0.879414072717761,0.7297297297297297,0.1496843429880312,0.8120697935008804,0.8320218953130345,-0.0199521018121541
1,0.8094874591057797,0.8210224362257965,0.8082177094157001,0.8439342881213142,"[[3416 1006]
 [ 741 4007]]",0.659297789336801,0.3170974155069582,0.3422003738298428,0.4809623521200215,0.8800424628450106,0.7051020408163265,0.1749404220286841,0.8062418725617685,0.81610337972167,-0.0098615071599015
2,0.811886586695747,0.8210766517996059,0.8110856836290327,0.8336141533277169,"[[3487  935]
 [ 790 3958]]",0.6439321165545949,0.2978796169630643,0.3460524995915306,0.4625947507586523,0.8733877336141089,0.6743940990516333,0.1989936345624756,0.8102785782901056,0.8153214774281806,-0.0050428991380749
3,0.809051254089422,0.8200226128070717,0.8079051685739184,0.8401432181971357,"[[3430  992]
 [ 759 3989]]",0.6505850296521879,0.3145684066871375,0.3360166229650504,0.4835162082584505,0.8779714738510301,0.6912681912681913,0.1867032825828388,0.8081423305016829,0.8109860116001365,-0.0028436810984535
4,0.8248636859323882,0.8343305137198267,0.8238734717314858,0.8517270429654591,"[[3520  902]
 [ 704 4044]]",0.6479467618893037,0.317048853439681,0.3308979084496227,0.4893131227559806,0.8863515666489644,0.7189409368635438,0.1674106297854206,0.8243791592273981,0.8258557660352277,-0.0014766068078295
5,0.816030534351145,0.8252356780275562,0.8151882941880929,0.8388795282224094,"[[3500  922]
 [ 765 3983]]",0.6460291734197731,0.3063333333333333,0.3396958400864397,0.4741787924402074,0.8736481139541018,0.7011494252873564,0.1724986886667454,0.813128038897893,0.822,-0.0088719611021069
6,0.8183206106870229,0.8284596375617793,0.8172522449405726,0.8473041280539174,"[[3481  941]
 [ 725 4023]]",0.650483870967742,0.3134680134680134,0.3370158574997285,0.4818997479547938,0.8806443094797993,0.7159209157127991,0.1647233937670001,0.8145161290322581,0.8262626262626263,-0.0117464972303681
7,0.8099236641221375,0.8213590242902532,0.8086699934500737,0.8439342881213142,"[[3420 1002]
 [ 741 4007]]",0.6566872762772535,0.3217592592592592,0.3349280170179943,0.489973341775869,0.8730200633579726,0.7291666666666666,0.1438533966913059,0.803123983078425,0.8237433862433863,-0.0206194031649612
8,0.8146128680479825,0.8246337940994429,0.8136096819265852,0.8418281381634373,"[[3473  949]
 [ 751 3997]]",0.6457197819814043,0.3130968622100955,0.3326229197713088,0.4848803938596264,0.8808510638297873,0.6933198380566802,0.1875312257731071,0.8134017313241424,0.8171896316507503,-0.0037879003266079
9,0.8155943293347874,0.8263682102885306,0.8144177062150381,0.8475147430497051,"[[3455  967]
 [ 724 4024]]",0.6521880064829821,0.3223333333333333,0.3298546731496488,0.4942337640821737,0.8838451268357811,0.711864406779661,0.17198072005612,0.8137763371150729,0.8193333333333334,-0.0055569962182604
10,0.8184296619411123,0.827764559842764,0.8175361131845558,0.8426705981465881,"[[3504  918]
 [ 747 4001]]",0.637383776851555,0.3216234652114597,0.3157603116400952,0.5045993903393073,0.8765235824059353,0.7114989733059548,0.1650246090999805,0.8182109650529016,0.8188949522510232,-0.0006839871981215
