seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7850599781897492,0.8035091217226596,0.7827112427446896,0.8487784330244313,"[[3169 1253]
 [ 718 4030]]",0.6862493997118617,0.3407458091002395,0.3455035906116222,0.49653348949129833,0.880198796756474,0.7189189189189189,0.16127987783755504,0.7790939651032496,0.7978104686965446,-0.01871650359329502
1,0.7945474372955289,0.8058932618998557,0.7934722782655612,0.823715248525695,"[[3375 1047]
 [ 837 3911]]",0.6562093628088427,0.305168986083499,0.35104037672534366,0.46504820470291947,0.8662420382165605,0.6602040816326531,0.20603795658390744,0.7924252275682705,0.7988734261100067,-0.006448198541736172
2,0.8067611777535442,0.8169799628175995,0.8057946367572416,0.8329823083403538,"[[3443  979]
 [ 793 3955]]",0.6519372398334934,0.2948016415868673,0.3571355982466261,0.4521932842218991,0.875230323769413,0.6638566912539515,0.21137363251546148,0.8045148895292987,0.8115595075239398,-0.007044617994641067
3,0.781897491821156,0.7942810121374203,0.7807442168037045,0.81318449873631,"[[3309 1113]
 [ 887 3861]]",0.6542715178714538,0.30433299215284887,0.3499385257186049,0.46514785351338167,0.8573692551505546,0.6392931392931392,0.21807611585741538,0.7794518352300048,0.7871033776867963,-0.007651542456791449
4,0.7948745910577971,0.8065411909904351,0.7937338561843459,0.8258213984835721,"[[3368 1054]
 [ 827 3921]]",0.6489206297678948,0.32469258889996677,0.324228040867928,0.5003579390226852,0.8635156664896442,0.6812627291242362,0.18225293736540793,0.7954877454958611,0.7936191425722832,0.0018686029235779333
5,0.7827699018538713,0.7961939840392879,0.7814158795514653,0.819502948609941,"[[3287 1135]
 [ 857 3891]]",0.6635332252836305,0.31066666666666665,0.3528665586169638,0.4682006187917277,0.8612503297283038,0.6541274817136886,0.20712284801461522,0.7803889789303079,0.7876666666666666,-0.007277687736358729
6,0.8019629225736096,0.8157841347129234,0.8003071206729622,0.8468828980623421,"[[3333 1089]
 [ 727 4021]]",0.6667741935483871,0.32861952861952864,0.33815466492885843,0.4928498010259017,0.8793240031687352,0.7190426638917794,0.16028133927695576,0.7966129032258065,0.8131313131313131,-0.01651840990550668
7,0.7793893129770992,0.7956772043227957,0.7775380297714918,0.8296124684077506,"[[3208 1214]
 [ 809 3939]]",0.6740969736413928,0.333994708994709,0.34010226464668375,0.49546982415676605,0.864572333685322,0.6916666666666667,0.1729056670186554,0.7753010087862025,0.7876984126984127,-0.012397403912210225
8,0.7968375136314068,0.8101498012840109,0.7953499047612517,0.8371946082561078,"[[3332 1090]
 [ 773 3975]]",0.657903174094261,0.327762619372442,0.330140554721819,0.49819279231123126,0.8763297872340425,0.6882591093117408,0.1880706779223017,0.7957678743186919,0.7991132332878581,-0.0033453589691662122
9,0.7765539803707743,0.779890428617467,0.7769971083542233,0.7645324347093513,"[[3491  931]
 [1118 3630]]",0.6139384116693679,0.25766666666666665,0.35627174500270126,0.4196946497712073,0.825634178905207,0.5363908275174477,0.28924335138775925,0.7813614262560779,0.7666666666666667,0.014694759589411133
10,0.8105779716466739,0.8201304753028891,0.8097133045045127,0.8340353833192923,"[[3473  949]
 [ 788 3960]]",0.6386662391792242,0.3154843110504775,0.3231819281287467,0.49397367779439716,0.8698993110757817,0.6950718685831622,0.1748274424926195,0.8089131131773004,0.8141200545702592,-0.005206941392958742
11,0.8009814612868048,0.8151149832843684,0.7992739545742225,0.8473041280539174,"[[3322 1100]
 [ 725 4023]]",0.6687296416938111,0.33564356435643566,0.33308607733737544,0.5019121980390928,0.8875266524520256,0.6957831325301205,0.19174351992190508,0.8048859934853421,0.7930693069306931,0.011816686554648959
12,0.7982551799345693,0.8129801860088961,0.7964627063807866,0.8468828980623421,"[[3299 1123]
 [ 727 4021]]",0.6703472555608897,0.3269428277986991,0.3434044277621906,0.4877215877092554,0.8836901929685435,0.7025906735751295,0.18109951939341395,0.794207073131701,0.8069154399178363,-0.012708366786135294
13,0.7974918211559433,0.809166581029699,0.7963233442193947,0.8291912384161753,"[[3376 1046]
 [ 811 3937]]",0.6505089675230247,0.3210332103321033,0.32947575719092137,0.4935108143927937,0.8680243321872521,0.6773526370217167,0.1906716951655354,0.7991597996445307,0.7940288493794029,0.005130950265127776
14,0.7841875681570338,0.8037290488941783,0.7816358774405524,0.8534119629317607,"[[3139 1283]
 [ 696 4052]]",0.6966672033488971,0.34065562690098006,0.35601157644791703,0.4889789920688669,0.8891521853607162,0.7105263157894737,0.1786258695712425,0.7792625986153598,0.7945251774248057,-0.015262578809445815
15,0.8055616139585605,0.8168087948217405,0.8043955854487234,0.8371946082561078,"[[3412 1010]
 [ 773 3975]]",0.6495161290322581,0.32255892255892255,0.32695720647333554,0.4966141842228259,0.8720991561181435,0.698744769874477,0.1733543862436665,0.8056451612903226,0.8053872053872054,0.00025795590311716854
16,0.8031624863685932,0.8137831424739502,0.8021486920913545,0.8306655433866892,"[[3421 1001]
 [ 804 3944]]",0.6410543130990415,0.32027491408934705,0.32077939900969443,0.499606519361902,0.8685880486515072,0.6821946169772257,0.18639343167428146,0.8043130990415336,0.8006872852233677,0.003625813818165846
17,0.7980370774263904,0.8090721649484536,0.7969896249014559,0.8264532434709352,"[[3394 1028]
 [ 824 3924]]",0.636875100466163,0.335707019328586,0.30116808113757704,0.5271159432718661,0.8534827862289832,0.7252747252747253,0.12820806095425796,0.788940684777367,0.8172261783655477,-0.028285493588180666
18,0.7924754634678299,0.8066253429529521,0.790873645481713,0.8359309182813817,"[[3298 1124]
 [ 779 3969]]",0.6719636776390465,0.31601731601731603,0.3559463616217305,0.47028928278928284,0.8825107296137339,0.6656862745098039,0.21682445510393,0.790497810929139,0.7965367965367965,-0.006038985607657588
19,0.7977099236641222,0.810617662072486,0.7962932903834965,0.8361415332771693,"[[3345 1077]
 [ 778 3970]]",0.6550617680089844,0.3282260810350698,0.32683568697391463,0.5010612694321798,0.8734683004794885,0.6951710261569416,0.17829727432254694,0.7948018610620888,0.8038815117466803,-0.00907965068459149
