seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8080697928026173,0.8190417437795598,0.806934110560775,0.8388795282224094,"[[3427  995]
 [ 765 3983]]",0.6539138786617577,0.30550803968525486,0.3484058389765028,0.4671991980205109,0.8710436829714884,0.705945945945946,0.16509773702554242,0.8002241075716344,0.8248374957235717,-0.024613388151937254
1,0.8003271537622683,0.8096871427086582,0.7995892578922039,0.8203454085930918,"[[3444  978]
 [ 853 3895]]",0.6438556566970091,0.30218687872763417,0.3416687779693749,0.4693394794073228,0.8601380042462845,0.6673469387755102,0.1927910654707743,0.7973016905071522,0.80649436713055,-0.009192676623397844
2,0.8040348964013087,0.8145702197915591,0.8030299696280031,0.8312973883740522,"[[3426  996]
 [ 801 3947]]",0.6509766250400256,0.29993160054719564,0.35104502449283,0.46074096827786126,0.871018689128718,0.672286617492097,0.1987320716366211,0.8003522254242715,0.8119015047879617,-0.011549279363690212
3,0.802835332606325,0.8125259228535878,0.8020113303437625,0.8251895534962089,"[[3444  978]
 [ 830 3918]]",0.6380830261259818,0.31218014329580346,0.3259028828301783,0.4892469012867414,0.8605388272583201,0.6860706860706861,0.17446814118763398,0.7994870972912326,0.8099624701467076,-0.010475372855475062
4,0.8115594329334788,0.8224779124717485,0.8103971126217728,0.8430918281381634,"[[3439  983]
 [ 745 4003]]",0.6518422334036682,0.322366234629445,0.3294759987742232,0.49454640725896687,0.8781200212426978,0.7087576374745418,0.16936238376815604,0.8104203863009252,0.8138916583582586,-0.003471272057333441
5,0.8047982551799345,0.815615986814998,0.8037283045597623,0.8338247683235046,"[[3421 1001]
 [ 789 3959]]",0.6523500810372771,0.31166666666666665,0.34068341437061045,0.47775983436853003,0.8675811131627539,0.7001044932079414,0.16747661995481244,0.7993517017828201,0.816,-0.016648298217179835
6,0.8067611777535442,0.8186284544524054,0.8054530422864615,0.8422493681550126,"[[3399 1023]
 [ 749 3999]]",0.6579032258064517,0.3175084175084175,0.34039480829803415,0.48260656743127933,0.8761552680221811,0.708636836628512,0.16751843139366918,0.8016129032258065,0.8175084175084175,-0.015895514282611045
7,0.8025081788440567,0.8150719901970797,0.8011053810369155,0.840564448188711,"[[3368 1054]
 [ 757 3991]]",0.6700292873413602,0.30654761904761907,0.3634816682937412,0.45751376072527117,0.8764519535374868,0.6989583333333333,0.1774936202041535,0.7940123657663521,0.8197751322751323,-0.025762766508780177
8,0.8093784078516902,0.8177648040033361,0.8087645368165681,0.8260320134793597,"[[3500  922]
 [ 826 3922]]",0.6394677781340173,0.2916098226466576,0.34785795548735976,0.45601957224112555,0.8707446808510638,0.6558704453441295,0.2148742355069343,0.8074703430586726,0.8134379263301501,-0.005967583271477506
9,0.8058887677208287,0.8136515912897823,0.805425750926763,0.8184498736310025,"[[3504  918]
 [ 862 3886]]",0.6345218800648298,0.29633333333333334,0.33818854673149645,0.4670183056619839,0.8654205607476636,0.6430707876370887,0.2223497731105749,0.8090761750405187,0.7993333333333333,0.009742841707185312
