seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8088331515812431,0.8188862485793986,0.8078808778349198,0.8346672283066554,"[[3454  968]
 [ 785 3963]]",0.6489514967184249,0.3000342114266165,0.3489172852918084,0.4623368817913353,0.8684279361757782,0.6951351351351351,0.17329280104064304,0.8019849527773332,0.8234690386589121,-0.021484085881578907
1,0.8005452562704471,0.8107996275990482,0.7996290756526017,0.8254001684919966,"[[3422 1000]
 [ 829 3919]]",0.6510078023407022,0.3028495692511597,0.3481582330895425,0.4652011360881734,0.8678343949044586,0.6622448979591836,0.20558949694527495,0.7995773732119635,0.802518223989397,-0.002940850777433446
2,0.8026172300981461,0.8119675877830875,0.8018628234335713,0.823083403538332,"[[3452  970]
 [ 840 3908]]",0.6463336535382644,0.28761969904240764,0.3587139544958568,0.4450018925486446,0.8665438273229797,0.649104320337197,0.21743950698578274,0.7995517130963817,0.8091655266757866,-0.009613813579404829
3,0.8030534351145038,0.81408276714021,0.8019579859757656,0.8327716933445661,"[[3410 1012]
 [ 794 3954]]",0.6526686969065555,0.30501535312180145,0.34765334378475404,0.4673356552374556,0.8737453777073428,0.6715176715176715,0.20222770618967134,0.800929636159641,0.8075742067553736,-0.006644570595732646
4,0.8142857142857143,0.8244510875167509,0.8132549418794058,0.8422493681550126,"[[3468  954]
 [ 749 3999]]",0.653303035221555,0.3084081090063144,0.3448949262152406,0.47207512039451,0.880509824747743,0.6955193482688391,0.18499047647890388,0.8118811881188119,0.8192090395480226,-0.007327851429210663
5,0.8038167938931298,0.814669825898836,0.8027494830359194,0.8327716933445661,"[[3417 1005]
 [ 794 3954]]",0.6539708265802269,0.308,0.3459708265802269,0.47096902106567534,0.8689000263782644,0.6896551724137931,0.1792448539644712,0.7993517017828201,0.813,-0.013648298217179833
6,0.8076335877862595,0.817655571635311,0.8066992048259888,0.8329823083403538,"[[3451  971]
 [ 793 3955]]",0.6530645161290323,0.29528619528619526,0.357778320842837,0.4521547075264042,0.8737787166622657,0.6722164412070759,0.2015622754551898,0.8035483870967742,0.8161616161616162,-0.012613229064841969
7,0.8022900763358779,0.8140322084316339,0.8010577997658183,0.8357203032855939,"[[3389 1033]
 [ 780 3968]]",0.6589651806052718,0.314484126984127,0.3444810536211448,0.47723936899862823,0.8680042238648363,0.7083333333333334,0.15967089053150296,0.7946631955743573,0.8177910052910053,-0.023127809716648073
8,0.8099236641221375,0.8191721132897604,0.8091280405813469,0.83150800336984,"[[3479  943]
 [ 800 3948]]",0.6407502404616865,0.3049113233287858,0.3358389171329007,0.4758661083124758,0.8710106382978723,0.6811740890688259,0.18983654922904636,0.8065084963129208,0.8171896316507503,-0.01068113533782955
9,0.80567066521265,0.8179031269160024,0.8042990416684289,0.8428812131423757,"[[3386 1036]
 [ 746 4002]]",0.6620745542949756,0.31766666666666665,0.344407887628309,0.47980497756017954,0.8865153538050734,0.6799601196410767,0.20655523416399668,0.807131280388979,0.8026666666666666,0.004464613722312327
10,0.8104689203925846,0.8210461285008237,0.8093906187070316,0.8397219882055602,"[[3445  977]
 [ 761 3987]]",0.6468419365181148,0.3168485675306958,0.32999336898741904,0.489839247647207,0.8773184949655538,0.6940451745379876,0.18327332042756617,0.8097146521320936,0.8120736698499318,-0.0023590177178381966
11,0.8116684841875682,0.820310061387993,0.8109837577830387,0.8302443133951137,"[[3501  921]
 [ 806 3942]]",0.6462540716612378,0.2953795379537954,0.3508745337074424,0.45706410358777816,0.8763326226012793,0.6566265060240963,0.21970611657718297,0.8136807817589576,0.8075907590759076,0.006090022683050034
