seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7828789531079607,0.797642036792357,0.7812727547069738,0.8264532434709352,"[[3255 1167]
 [ 824 3924]]",0.6696014086761646,0.31063975367772834,0.35896165499843624,0.4639174136325051,0.865289040020926,0.6659459459459459,0.19934309407498008,0.7774931967344325,0.7943893260348956,-0.016896129300463136
1,0.7872410032715377,0.8028695564312418,0.7854151830264318,0.8367733782645325,"[[3246 1176]
 [ 775 3973]]",0.6684005201560468,0.3436050364479788,0.324795483708068,0.5140705700943496,0.8699575371549894,0.7091836734693877,0.16077386368560165,0.7847854356306893,0.7922465208747514,-0.007461085244062193
2,0.8083969465648855,0.8191828753730576,0.8072966141186538,0.8382476832350463,"[[3433  989]
 [ 768 3980]]",0.6524175472302274,0.3057455540355677,0.3466719931946597,0.46863478049230817,0.875230323769413,0.690200210748156,0.18503011302125705,0.8040345821325648,0.8177154582763337,-0.013680876143768894
3,0.7792802617230098,0.7889468196037539,0.7786360664320277,0.7967565290648694,"[[3363 1059]
 [ 965 3783]]",0.6326334348453277,0.30535653360627774,0.32727690123905,0.48267530103105316,0.8365029054410987,0.6403326403326404,0.19617026510845836,0.7757653470107388,0.78676219720232,-0.010996850191581142
4,0.7924754634678299,0.8107032726549289,0.790050713347561,0.8582561078348778,"[[3192 1230]
 [ 673 4075]]",0.6860899204674565,0.35825855766035225,0.3278313628071043,0.5221743491235936,0.8924588422729687,0.7270875763747454,0.16537126589822326,0.7937023210517773,0.7899634430043204,0.003738878047456873
5,0.7842966194111233,0.801445492872917,0.7822147590911187,0.8407750631844987,"[[3200 1222]
 [ 756 3992]]",0.6857374392220421,0.32766666666666666,0.35807077255537545,0.47783108800126056,0.880506462674756,0.6833855799373041,0.19712088273745187,0.7818476499189627,0.7893333333333333,-0.007485683414370614
6,0.801308615049073,0.8144980655670943,0.7997917283460921,0.8424599831508003,"[[3348 1074]
 [ 748 4000]]",0.662741935483871,0.32491582491582494,0.337826110568046,0.4902599451151411,0.8774755743332453,0.704474505723205,0.17300106861004028,0.7983870967741935,0.8074074074074075,-0.009020310633213957
7,0.7755725190839695,0.7805502239283431,0.7757465639558964,0.7708508845829823,"[[3452  970]
 [1088 3660]]",0.6191018548649528,0.2728174603174603,0.34628439454749255,0.4406665206599503,0.8181098204857444,0.584375,0.23373482048574445,0.7730231044581842,0.7807539682539683,-0.0077308637957840265
8,0.79432933478735,0.8123009554140128,0.7919263394294515,0.8595197978096041,"[[3203 1219]
 [ 667 4081]]",0.6841936518114781,0.3519781718963165,0.33221547991516154,0.5144423234042227,0.8962765957446809,0.7196356275303644,0.17664096821431652,0.7935235652452709,0.796043656207367,-0.0025200909620960443
9,0.7804798255179934,0.7870517296096479,0.7803689487006265,0.7834877843302444,"[[3437  985]
 [1028 3720]]",0.6134521880064829,0.30666666666666664,0.3067855213398163,0.4999031263760458,0.8264352469959947,0.6231306081754736,0.20330463882052108,0.7828200972447326,0.7756666666666666,0.007153430578065945
10,0.8071973827699018,0.8210164000809881,0.8054705697216605,0.8540438079191238,"[[3347 1075]
 [ 693 4055]]",0.6646361013145239,0.33560709413369716,0.3290290071808267,0.50494863801399,0.8897721250662427,0.715605749486653,0.1741663755795897,0.8069894196857967,0.8076398362892224,-0.0006504166034256853
11,0.8009814612868048,0.8115253537126924,0.8000037245799798,0.8275063184498737,"[[3416 1006]
 [ 819 3929]]",0.6485342019543974,0.31452145214521454,0.33401274980918283,0.4849728066729325,0.8694029850746269,0.6696787148594378,0.19972427021518913,0.8029315960912052,0.7970297029702971,0.005901893120908164
12,0.7957470010905126,0.8126063031515757,0.7935515327551566,0.8553074978938501,"[[3236 1186]
 [ 687 4061]]",0.6829892782845255,0.33515919205751454,0.34783008622701095,0.49072394357249494,0.8924134284959028,0.7098445595854922,0.18256886891041058,0.7921267402784445,0.8034919548099966,-0.011365214531552037
13,0.7980370774263904,0.8101681016810169,0.7967722466018685,0.8323504633529908,"[[3366 1056]
 [ 796 3952]]",0.6553562772661173,0.3193559208319356,0.33600035643418175,0.48730123126944014,0.8709336154456493,0.6814891416752844,0.18944447377036489,0.7978671837130392,0.798389802079839,-0.0005226183667997875
14,0.7838604143947655,0.8026289583748256,0.7814674616501622,0.8487784330244313,"[[3158 1264]
 [ 718 4030]]",0.6863629045242312,0.34842852314971273,0.3379343813745185,0.5076447471927905,0.8807266982622433,0.7210526315789474,0.15967406668329587,0.7792625986153598,0.7935113213923622,-0.014248722777002398
15,0.8070883315158124,0.817910447761194,0.80599410659043,0.8367733782645325,"[[3428  994]
 [ 775 3973]]",0.6475806451612903,0.3205387205387205,0.3270419246225698,0.4949788461619096,0.8731540084388185,0.6924686192468619,0.18068538919195665,0.8088709677419355,0.8033670033670034,0.005503964374932058
16,0.8033805888767721,0.8152853191271386,0.8021031112340572,0.8380370682392586,"[[3388 1034]
 [ 769 3979]]",0.6479233226837061,0.3288659793814433,0.3190573433022628,0.5075692877041013,0.8770491803278688,0.6853002070393375,0.19174897328853135,0.807667731629393,0.7941580756013745,0.013509656028018457
17,0.7973827699018539,0.8084141060012374,0.7963422528926938,0.8256107834877844,"[[3392 1030]
 [ 828 3920]]",0.6431441890371323,0.321804001356392,0.32134018768074035,0.5003605829637876,0.8582866293034428,0.7032967032967034,0.15498992600673944,0.7884584471949847,0.8162088843675822,-0.02775043717259751
18,0.7916030534351145,0.8063241106719367,0.7898992058166698,0.8378264532434709,"[[3281 1141]
 [ 770 3978]]",0.6732609048159559,0.322011322011322,0.3512495828046339,0.4782860844999573,0.8843884120171673,0.6676470588235294,0.21674135319363796,0.791470731311821,0.7918747918747919,-0.0004040605629709315
19,0.7935659760087241,0.8065801573515888,0.792175152803037,0.8312973883740522,"[[3330 1092]
 [ 801 3947]]",0.6682175517407348,0.2975825672454886,0.37063498449524623,0.4453378491335247,0.8806606286627597,0.6448692152917505,0.23579141337100928,0.7903096422268571,0.8004766768811713,-0.010167034654314233
