seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7846237731733915,0.7981191863436574,0.783237161058459,0.8222409435551812,"[[3291 1131]
 [ 844 3904]]",0.6513526492716504,0.3304823811152925,0.3208702681563579,0.5073785782323008,0.8537797541198012,0.6918918918918919,0.1618878622279093,0.7816551944933569,0.7909681833732467,-0.00931298887988985
1,0.7696837513631407,0.770684039087948,0.7705024791795027,0.7474726200505476,"[[3509  913]
 [1199 3549]]",0.6449934980494149,0.16368455931080186,0.481308938738613,0.25377706877017464,0.8402335456475584,0.39081632653061227,0.4494172191169461,0.7717815344603381,0.7654075546719682,0.0063739797883699545
2,0.7155943293347874,0.7747452064259803,0.7071526129024023,0.9446082561078348,"[[2077 2345]
 [ 263 4485]]",0.8234069804674992,0.5769493844049247,0.24645759606257445,0.7006855638718957,0.9626217425638326,0.8724973656480506,0.09012437691578201,0.739353186039065,0.66484268125855,0.07451050478051502
3,0.6967284623773173,0.7617170765144374,0.6879018688437265,0.9361836562763268,"[[1944 2478]
 [ 303 4445]]",0.8153550248437249,0.6264073694984647,0.18894765534526026,0.7682633336545943,0.9558901215002641,0.8586278586278586,0.09726226287240547,0.7379387722391408,0.609007164790174,0.1289316074489668
4,0.7605234460196292,0.7822292740975803,0.7579379277313365,0.8306655433866892,"[[3030 1392]
 [ 804 3944]]",0.6658010063301412,0.4101030242605517,0.2556979820695895,0.6159543472621304,0.8571428571428571,0.7291242362525459,0.12801862089031124,0.7708164259048855,0.7394483217015619,0.03136810420332359
5,0.7863685932388222,0.7922807761637153,0.7863505669934772,0.7868576242628476,"[[3475  947]
 [1012 3736]]",0.6515397082658023,0.221,0.43053970826580235,0.33919651741293533,0.8578211553679768,0.5057471264367817,0.3520740289311951,0.7881685575364668,0.7826666666666666,0.00550189086980013
6,0.8026172300981461,0.8125129480008287,0.8017541342837775,0.8260320134793597,"[[3438  984]
 [ 826 3922]]",0.655483870967742,0.2835016835016835,0.3719821874660585,0.43250748959410373,0.8719302878267758,0.6451612903225806,0.2267689975041952,0.7988709677419354,0.8104377104377104,-0.011566742695774956
7,0.8021810250817885,0.8150489396411094,0.8007195869469379,0.8418281381634373,"[[3359 1063]
 [ 751 3997]]",0.6656361861373251,0.32043650793650796,0.34519967820081715,0.48139887014856464,0.8751319957761352,0.7104166666666667,0.1647153291094685,0.7967783924503742,0.8131613756613757,-0.01638298321100151
8,0.8002181025081788,0.8073201514514092,0.7999187069934847,0.8083403538331929,"[[3500  922]
 [ 910 3838]]",0.6332157742866303,0.2762619372442019,0.35695383704242845,0.4362840416529953,0.8590425531914894,0.6153846153846154,0.24365793780687395,0.7996152613016992,0.8015006821282401,-0.0018854208265408623
9,0.7510359869138495,0.7721784253068557,0.7486830132861769,0.8148694187026116,"[[3018 1404]
 [ 879 3869]]",0.6551053484602918,0.4103333333333333,0.24477201512695845,0.6263623618670625,0.8464619492656876,0.6969092721834497,0.14955267708223796,0.7654781199351702,0.7213333333333334,0.04414478660183685
