seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8089422028353326,0.8186710825915959,0.8080560569291095,0.8329823083403538,"[[3463  959]
 [ 793 3955]]",0.6449495757963822,0.3027711255559356,0.3421784502404466,0.4694492979270117,0.865289040020926,0.6994594594594594,0.1658295805614665,0.8021450296142149,0.8234690386589121,-0.0213240090446972
1,0.8001090512540894,0.8095188610620389,0.7993631158750172,0.8203454085930918,"[[3442  980]
 [ 853 3895]]",0.6451560468140443,0.3001988071570576,0.3449572396569866,0.4653119328874322,0.8617303609341825,0.6612244897959184,0.2005058711382641,0.7979518855656696,0.8045062955599734,-0.0065544099943037
2,0.8031624863685932,0.8116456224564333,0.8025756851798296,0.8190817186183657,"[[3476  946]
 [ 859 3889]]",0.6392891450528339,0.2879616963064295,0.3513274487464043,0.4504404595867665,0.8604896025269808,0.6533192834562698,0.207170319070711,0.7992315081652257,0.8115595075239398,-0.012327999358714
3,0.8033805888767721,0.8150579546620166,0.8021496922982545,0.8367733782645325,"[[3394 1028]
 [ 775 3973]]",0.6560346209328418,0.3097918799044695,0.3462427410283723,0.4722187976359602,0.8777073428420497,0.6756756756756757,0.202031667166374,0.8023721750280494,0.8055271238485159,-0.0031549488204665
4,0.8119956379498364,0.8220111501135661,0.8110201938915365,0.8384582982308341,"[[3465  957]
 [ 767 3981]]",0.6492452523940919,0.3117314722499169,0.337513780144175,0.4801444001329345,0.8767923526287839,0.6914460285132383,0.1853463241155455,0.8113942541795163,0.813226985709538,-0.0018327315300217
5,0.8038167938931298,0.816372358885373,0.8024001250544397,0.8422493681550126,"[[3372 1050]
 [ 749 3999]]",0.6659643435980551,0.3133333333333333,0.3526310102647217,0.4704956599334793,0.8783962015299394,0.6990595611285266,0.1793366404014127,0.7990275526742301,0.8136666666666666,-0.0146391139924365
6,0.8053435114503816,0.8099243956980087,0.8055047672718585,0.8009688289806234,"[[3582  840]
 [ 945 3803]]",0.618225806451613,0.2727272727272727,0.3454985337243402,0.4411450798093114,0.8436757327700026,0.6326742976066597,0.2110014351633429,0.8016129032258065,0.8131313131313131,-0.0115184099055066
7,0.802071973827699,0.8135210109935272,0.8009015293449274,0.8338247683235046,"[[3396 1026]
 [ 789 3959]]",0.6522941750732184,0.3227513227513227,0.3295428523218957,0.4947941206359764,0.8619324181626188,0.7229166666666667,0.1390157514959521,0.7938496583143508,0.8187830687830688,-0.0249334104687179
8,0.8070883315158124,0.8167409095617942,0.806234775422116,0.8302443133951137,"[[3459  963]
 [ 806 3942]]",0.6394677781340173,0.3124147339699863,0.3270530441640309,0.4885543019565743,0.8675531914893617,0.6882591093117408,0.1792940821776208,0.8036229560756653,0.8144611186903138,-0.0108381626146485
9,0.8065430752453653,0.8170002063131835,0.8055296771865571,0.8340353833192923,"[[3436  986]
 [ 788 3960]]",0.6484602917341977,0.315,0.3334602917341977,0.4857660584853787,0.8777036048064085,0.67098703888335,0.2067165659230585,0.8100486223662885,0.7993333333333333,0.0107152890329551
