seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.818102508178844,0.8289932335452123,0.8168708327093948,0.8515164279696714,"[[3459  963]
 [ 705 4043]]",0.653753801824876,0.3154293534040369,0.338324448420839,0.4824895129076931,0.879937222076903,0.7340540540540541,0.1458831680228488,0.811269409316472,0.8327061238453644,-0.0214367145288923
1,0.8092693565976009,0.8200432143224612,0.8081623646339033,0.8393007582139849,"[[3436  986]
 [ 763 3985]]",0.6536085825747724,0.314777998674619,0.3388305839001534,0.4816001611157066,0.8768577494692145,0.6948979591836735,0.181959790285541,0.8080299089726918,0.8117958913187542,-0.0037659823460624
2,0.8112322791712104,0.8208260014491253,0.8103529130025753,0.8350884582982309,"[[3474  948]
 [ 783 3965]]",0.6471341658661544,0.2978796169630643,0.34925454890309,0.4603058108736516,0.8749670966043696,0.6754478398314014,0.1995192567729681,0.808997758565482,0.8160054719562243,-0.0070077133907423
3,0.8095965103598691,0.8213262382316824,0.8082841993600962,0.8451979780960405,"[[3411 1011]
 [ 735 4013]]",0.6552332104503927,0.3193449334698055,0.3358882769805872,0.4873759882382868,0.8824617010036978,0.6985446985446986,0.1839170024589992,0.808943740984132,0.8109860116001365,-0.0020422706160044
4,0.8234460196292257,0.8329032923934359,0.8224734202160675,0.8498315080033698,"[[3516  906]
 [ 713 4035]]",0.6469728940107126,0.3173811897640412,0.3295917042466713,0.4905633492564621,0.8831651619755709,0.7219959266802444,0.1611692352953265,0.8214575555916247,0.827517447657029,-0.0060598920654042
5,0.8155943293347874,0.8262611733278536,0.8144409967471367,0.8468828980623421,"[[3458  964]
 [ 727 4021]]",0.6573743922204214,0.3096666666666666,0.3477077255537547,0.4710659105851413,0.8818253758902664,0.7084639498432602,0.1733614260470062,0.8118314424635332,0.8233333333333334,-0.0115018908698001
6,0.8174482006543076,0.8274226804123711,0.8164253119788208,0.8451979780960405,"[[3483  939]
 [ 735 4013]]",0.6470967741935484,0.3164983164983165,0.3305984576952319,0.4891050753463515,0.8772115130710325,0.7190426638917794,0.1581688491792531,0.8137096774193548,0.8252525252525252,-0.0115428478331703
7,0.8077426390403489,0.8198262646908533,0.8063775192354076,0.844776748104465,"[[3396 1026]
 [ 737 4011]]",0.6602668402212821,0.3237433862433862,0.3365234539778959,0.4903220433346111,0.8735480464625132,0.73125,0.1422980464625132,0.8001952489424016,0.8230820105820106,-0.022886761639609
8,0.8166848418756816,0.8272886057741704,0.815532889279573,0.8479359730412805,"[[3463  959]
 [ 722 4026]]",0.6502084001282462,0.3168485675306958,0.3333598325975504,0.4873030976963709,0.8851063829787233,0.7064777327935222,0.1786286501852011,0.8140429624879769,0.822305593451569,-0.008262630963592
9,0.8148309705561614,0.8258461538461539,0.8136106821334852,0.8479359730412805,"[[3446  976]
 [ 722 4026]]",0.6567260940032414,0.3166666666666666,0.3400594273365748,0.4821898650871997,0.8870493991989319,0.7018943170488534,0.1851550821500784,0.813128038897893,0.8183333333333334,-0.0052052944354403
10,0.818102508178844,0.8285009253547193,0.8169795218591884,0.8485678180286437,"[[3473  949]
 [ 719 4029]]",0.6502084001282462,0.3144611186903138,0.3357472814379324,0.4836312767234165,0.8863275039745628,0.702258726899384,0.1840687770751788,0.8172491183071497,0.819918144611187,-0.0026690263040372
11,0.8179934569247547,0.8283098446661865,0.8168897413826937,0.8479359730412805,"[[3475  947]
 [ 722 4026]]",0.6547231270358306,0.3145214521452145,0.340201674890616,0.480388486609855,0.8864605543710021,0.7028112449799196,0.1836493093910824,0.8175895765472313,0.8188118811881188,-0.0012223046408874
12,0.8170119956379498,0.8276853563360033,0.8158410482625548,0.8487784330244313,"[[3462  960]
 [ 718 4030]]",0.6508241318610978,0.3159876754536118,0.334836456407486,0.4855192977402557,0.8815754692043352,0.7202072538860104,0.1613682153183248,0.8111697871659466,0.8295104416295789,-0.0183406544636323
13,0.8099236641221375,0.8208080600390665,0.8087864461105669,0.8407750631844987,"[[3435  987]
 [ 756 3992]]",0.6514784294716433,0.3176786313317679,0.3337997981398753,0.487627244373093,0.8767521819624438,0.7001034126163392,0.1766487693461045,0.8088544191307158,0.8121435759812143,-0.0032891568504985
14,0.8128680479825517,0.8246832856559052,0.8114977688718085,0.8500421229991575,"[[3418 1004]
 [ 712 4036]]",0.6609241668008372,0.3159851301115242,0.344939036689313,0.4780958935743427,0.8849394418114798,0.7105263157894737,0.1744131260220061,0.8098534857510867,0.8191956742142615,-0.0093421884631748
15,0.8146128680479825,0.8256410256410256,0.8133923036269979,0.8477253580454929,"[[3445  977]
 [ 723 4025]]",0.6558064516129032,0.3151515151515151,0.340654936461388,0.4805556797686655,0.8847573839662447,0.700836820083682,0.1839205638825627,0.8148387096774193,0.8141414141414142,0.0006972955360051
