seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7708833151581244,0.7896686354990489,0.7686796735477093,0.8306655433866892,"[[3125 1297]
 [ 804 3944]]",0.6827277093004642,0.3339035237769415,0.34882418552352273,0.4890727580385823,0.8679047868166362,0.6767567567567567,0.19114803005987946,0.7675684328477669,0.7779678412589806,-0.010399408411213673
1,0.7452562704471102,0.7628907835972392,0.7435519995183765,0.7914911541701769,"[[3076 1346]
 [ 990 3758]]",0.6810793237971391,0.3028495692511597,0.3782297545459794,0.4446612291248531,0.8622611464968153,0.5193877551020408,0.34287339139477446,0.7626788036410923,0.709741550695825,0.0529372529452673
2,0.520174482006543,0.682402194312112,0.5026505959137453,0.9955770850884583,"[[  43 4379]
 [  21 4727]]",0.9987191802753762,0.9808481532147743,0.01787102706060195,0.982106054020436,0.9989470913398263,0.982086406743941,0.0168606845958853,0.6082292667307077,0.3320793433652531,0.2761499233654546
3,0.48909487459105777,0.2683117288770889,0.5004546178504734,0.18091828138163438,"[[3626  796]
 [3889  859]]",0.1581984292354544,0.22790856363016035,-0.06971013439470594,1.4406499782052384,0.16930797675647122,0.22661122661122662,-0.057303249854755406,0.4404552011540311,0.5926305015353122,-0.15217530038128108
4,0.6160305343511451,0.7050347658540672,0.6060692745204055,0.8862679022746419,"[[1441 2981]
 [ 540 4208]]",0.8331439701347184,0.6832834828846793,0.1498604872500391,0.8201265416038397,0.9038767923526287,0.8187372708757638,0.08513952147686499,0.6606070443109885,0.5247590561648389,0.13584798814614962
5,0.7682660850599782,0.7722156715617965,0.7686210900007125,0.7586352148272957,"[[3443  979]
 [1146 3602]]",0.6384116693679093,214,0.4244116693679093,0.3352069053059152,0.833289369559483,0.46290491118077326,0.3703844583787097,0.7711507293354943,0.7623333333333333,0.008817396002161026
6,0.7920392584514722,0.8042295452212299,0.7908250640037158,0.8249789385004213,"[[3346 1076]
 [ 831 3917]]",0.6562903225806451,0.3111111111111111,0.345179211469534,0.4740449468883974,0.866913123844732,0.659729448491155,0.20718367535357696,0.7919354838709678,0.7922558922558922,-0.0003204083849244199
7,0.7993456924754635,0.8136897529364117,0.7976167069988191,0.8462510530749789,"[[3312 1110]
 [ 730 4018]]",0.6757240481614057,0.32242063492063494,0.3533034132407708,0.4771483800197983,0.8804118268215417,0.7114583333333333,0.16895349348820843,0.7931988285063456,0.8118386243386243,-0.018639795832278705
8,0.7924754634678299,0.7982186406531651,0.7924651651751201,0.7927548441449032,"[[3503  919]
 [ 984 3764]]",0.6287271561397884,0.25954979536152795,0.3691773607782604,0.41281785401968674,0.8515957446808511,0.5688259109311741,0.282769833749677,0.7951266431548574,0.7868349249658936,0.008291718188963793
9,0.7270447110141767,0.7545356477395312,0.7239781886310197,0.8102358887952822,"[[2820 1602]
 [ 901 3847]]",0.6649918962722853,0.44866666666666666,0.21632522960561862,0.6746949386627671,0.8387182910547396,0.7038883349950149,0.1348299560597247,0.7461912479740681,0.6876666666666666,0.05852458130740146
10,0.7254089422028354,0.7507917656373714,0.7227013530798942,0.7988626790227464,"[[2859 1563]
 [ 955 3793]]",0.6720102596986214,0.3969986357435198,0.2750116239551016,0.5907627599637587,0.8335983041865395,0.6642710472279261,0.1693272569586134,0.7316447579352356,0.7121418826739427,0.019502875261292907
