seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7844056706652126,0.7987786259541985,0.7828557488272814,0.8264532434709352,"[[3269 1153]
 [ 824 3924]]",0.6696014086761646,0.3058501539514198,0.3637512547247448,0.4567645019685679,0.865289040020926,0.6659459459459459,0.19934309407498008,0.7774931967344325,0.7991789257612042,-0.021685729026771683
1,0.7887677208287895,0.8012721863137375,0.7875260958743084,0.8224515585509689,"[[3328 1094]
 [ 843 3905]]",0.6594603381014305,0.3121272365805169,0.34733310152091357,0.47330706419604135,0.8633227176220807,0.6653061224489796,0.1980165951731011,0.7855981794538361,0.7952286282306164,-0.00963044877678021
2,0.806979280261723,0.8180135718692165,0.8058422180283389,0.8378264532434709,"[[3422 1000]
 [ 770 3978]]",0.654498879282741,0.30437756497948015,0.3501213143032608,0.4650543715415443,0.8754935509344565,0.6870389884088515,0.188454562525605,0.8022734550112072,0.81703146374829,-0.014758008737082884
3,0.7798255179934569,0.7945874453148846,0.77825427316965,0.8224515585509689,"[[3246 1176]
 [ 843 3905]]",0.659400544959128,0.3299215284885705,0.32947901647055755,0.5003355411376255,0.8613312202852615,0.6694386694386695,0.19189255084659207,0.7791312710370252,0.7813033094506994,-0.0021720384136741933
4,0.7946564885496183,0.8113415489429916,0.7925139847976173,0.8527801179443977,"[[3238 1184]
 [ 699 4049]]",0.6820321376399935,0.3426387504154204,0.3393933872245731,0.502379186413471,0.8903345724907064,0.7087576374745418,0.18157693501616456,0.7951631228696641,0.7936191425722832,0.001543980297380898
5,0.7847328244274809,0.7969553589796339,0.7835831373880388,0.8159224936815501,"[[3322 1100]
 [ 874 3874]]",0.6588330632090762,0.303,0.3558330632090762,0.4599040590405904,0.8599314165127935,0.6415882967607106,0.21834311975208287,0.7834683954619125,0.7873333333333333,-0.003864937871420837
6,0.8010905125408943,0.8144833197721725,0.7995345322861072,0.8433024431339511,"[[3342 1080]
 [ 744 4004]]",0.6680645161290323,0.31717171717171716,0.3508927989573151,0.4747621068239127,0.881172432004225,0.6940686784599376,0.18710375354428743,0.7975806451612903,0.8084175084175084,-0.010836863256218021
7,0.7776444929116685,0.7907215436723801,0.7764043190648581,0.8112889637742208,"[[3279 1143]
 [ 896 3852]]",0.655873739017247,0.3187830687830688,0.3370906702341782,0.48604334922866305,0.8484688489968321,0.6645833333333333,0.18388551566349876,0.7736739342661894,0.7857142857142857,-0.012040351448096343
8,0.7946564885496183,0.8117564730580826,0.7924285861799222,0.8550968828980623,"[[3227 1195]
 [ 688 4060]]",0.6776210323821737,0.3506139154160982,0.32700711696607554,0.5174188796701256,0.8912234042553191,0.7176113360323887,0.1736120682229304,0.7940044886181469,0.796043656207367,-0.00203916758922007
9,0.7813522355507089,0.7875384126311327,0.7813045708121719,0.7826453243470936,"[[3449  973]
 [1032 3716]]",0.6210696920583468,0.2856666666666667,0.33540302539168015,0.45995911621433544,0.8341789052069426,0.5902293120638086,0.24394959314313402,0.7846029173419773,0.7746666666666666,0.009936250675310676
10,0.8080697928026173,0.8203715043886507,0.8066546241755914,0.8464616680707666,"[[3391 1031]
 [ 729 4019]]",0.6599871753767234,0.31821282401091405,0.3417743513658093,0.48215001121692536,0.8868574456809751,0.6899383983572895,0.1969190473236856,0.8081115742225072,0.807980900409277,0.00013067381323028648
11,0.7993456924754635,0.8082534389328887,0.7987035984967557,0.8167649536647009,"[[3452  970]
 [ 870 3878]]",0.641042345276873,0.300990099009901,0.340052246266972,0.4695323190855671,0.8608742004264393,0.6506024096385542,0.21027179078788505,0.8,0.7980198019801981,0.001980198019801982
