seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8076335877862595,0.819076923076923,0.806404191419406,0.8409856781802865,"[[3413 1009]
 [ 755 3993]]",0.6508724187610053,0.32021895313034554,0.3306534656306598,0.4919842105767999,0.8689510855349202,0.7254054054054054,0.14354568012951474,0.8007043380822795,0.8224426958604174,-0.02173835777813793
1,0.8015267175572519,0.8121775025799793,0.8005224985587495,0.8287700084245998,"[[3415 1007]
 [ 813 3935]]",0.6537711313394018,0.30483764082173626,0.34893349051766553,0.4662757748223077,0.8704883227176221,0.6683673469387755,0.20212097577884658,0.8000650195058517,0.8045062955599734,-0.004441276054121701
2,0.8044711014176663,0.8117189961146698,0.8041188615397394,0.8140269587194608,"[[3512  910]
 [ 883 3865]]",0.6296829971181557,0.28796169630642954,0.34172130081172614,0.45731216758961574,0.8536456962358515,0.6554267650158061,0.1982189312200454,0.8005123278898495,0.8129274965800274,-0.012415168690177891
3,0.7995637949836423,0.8123723968966925,0.7981456259332884,0.8380370682392586,"[[3353 1069]
 [ 769 3979]]",0.6573168777047603,0.3230979187990447,0.3342189589057156,0.49154057922146793,0.8769149498151083,0.685031185031185,0.19188376478392333,0.8001282256771919,0.7983623336745138,0.0017658920026780711
4,0.8095965103598691,0.8173258003766478,0.8091148950049478,0.8226621735467565,"[[3518  904]
 [ 842 3906]]",0.6377211491640967,0.29278830176138254,0.3449328474027142,0.45911649965687906,0.863781200212427,0.664969450101833,0.19881175011059404,0.8070118487258562,0.8148886673313394,-0.007876818605483171
5,0.8006543075245365,0.809900166389351,0.7999362344286838,0.8201347935973041,"[[3448  974]
 [ 854 3894]]",0.6432739059967585,0.2996666666666667,0.3436072393300918,0.4658461409255061,0.8567660247955684,0.6750261233019854,0.181739901493583,0.7951377633711507,0.812,-0.016862236628849336
6,0.8067611777535442,0.8166770122077385,0.805856744842838,0.8312973883740522,"[[3451  971]
 [ 801 3947]]",0.641774193548387,0.31616161616161614,0.3256125773867709,0.49263684850515715,0.8634803274359651,0.704474505723205,0.15900582171276012,0.802258064516129,0.8161616161616162,-0.013903551645487178
7,0.8027262813522356,0.8136396414958278,0.8016575905034832,0.8317186183656277,"[[3412 1010]
 [ 799 3949]]",0.6492027334851936,0.32043650793650796,0.3287662255486857,0.4935846560846561,0.8600844772967265,0.7197916666666667,0.14029281063005983,0.7946631955743573,0.8191137566137566,-0.024450561039399354
8,0.8095965103598691,0.8195162290676039,0.808664611384374,0.8348778433024431,"[[3460  962]
 [ 784 3964]]",0.6410708560436037,0.31616643929058663,0.32490441675301707,0.49318485828824193,0.8723404255319149,0.6923076923076923,0.18003273322422264,0.8077909586405899,0.8134379263301501,-0.0056469676895601895
9,0.8044711014176663,0.8147153043298543,0.8035210712158743,0.8302443133951137,"[[3435  987]
 [ 806 3942]]",0.6427876823338736,0.321,0.3217876823338736,0.49938729198184567,0.8712950600801068,0.6769690927218345,0.19432596735827234,0.8079416531604539,0.7973333333333333,0.010608319827120516
10,0.8068702290076336,0.8168373151308306,0.8059542888300322,0.8317186183656277,"[[3450  972]
 [ 799 3949]]",0.6393074703430587,0.31821282401091405,0.32109464633214463,0.49774613745739266,0.8661897191308956,0.6981519507186859,0.16803776841220974,0.8037832638666239,0.8134379263301501,-0.009654662463526198
11,0.8091603053435115,0.8172514619883041,0.8086082663956773,0.8241364785172705,"[[3507  915]
 [ 835 3913]]",0.6400651465798045,0.2963696369636964,0.3436955096161081,0.46303042517992266,0.8680703624733476,0.6586345381526104,0.20943582432073715,0.8097719869706841,0.807920792079208,0.0018511948914761156
12,0.8076335877862595,0.8152879581151833,0.8071805424893608,0.8199241786015165,"[[3513  909]
 [ 855 3893]]",0.6276204192670828,0.3012666894899007,0.3263537297771821,0.4800141618109101,0.8551414221517314,0.6818652849740933,0.17327613717763812,0.8023683789406305,0.8188976377952756,-0.016529258854645068
