seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8127589967284624,0.8253128497303895,0.8112294276492241,0.8542544229149115,"[[3397 1025]
 [ 692 4056]]",0.6697614855130463,0.30687649674991446,0.3628849887631318,0.4581877330776089,0.8877844624640335,0.7156756756756757,0.17210878678835784,0.8048663358412038,0.8296270954498802,-0.024760759608676408
1,0.8059978189749182,0.8167301947048521,0.8049332681007918,0.8348778433024431,"[[3427  995]
 [ 784 3964]]",0.6604356306892067,0.2968853545394301,0.36355027614977664,0.4495295843284701,0.8795116772823779,0.6632653061224489,0.21624637115992895,0.8044538361508452,0.8091451292246521,-0.00469129307380689
2,0.8074154852780807,0.8181256436663233,0.8063410831269098,0.8365627632687447,"[[3432  990]
 [ 776 3972]]",0.6615433877681717,0.28385772913816687,0.3776856586300048,0.42908406974757746,0.8815477757304554,0.6564805057955743,0.22506726993488113,0.8025936599423631,0.8177154582763337,-0.015121798333970649
3,0.8057797164667394,0.8170894526034713,0.8045984369338114,0.8378264532434709,"[[3411 1011]
 [ 770 3978]]",0.6634075973713737,0.29000341180484474,0.37340418556652893,0.43714213245963424,0.8853671421024828,0.6507276507276507,0.2346394913748321,0.8042955601859272,0.8089389286932788,-0.004643368507351586
4,0.8178844056706652,0.8294526143790849,0.8165049474996161,0.8553074978938501,"[[3439  983]
 [ 687 4061]]",0.671644213601688,0.30109670987038883,0.3705475037312992,0.44829792883312364,0.8993627190653213,0.6863543788187373,0.213008340246584,0.8165882161986691,0.8205383848454636,-0.0039501686467945385
5,0.8102508178844057,0.8219402374130168,0.8089393348795579,0.8458298230834035,"[[3414 1008]
 [ 732 4016]]",0.6703403565640195,0.296,0.3743403565640195,0.4415667311411992,0.8871010287523081,0.6823406478578893,0.20476038089441884,0.8053484602917342,0.8203333333333334,-0.014984873041599123
6,0.8123227917121046,0.8214545077290175,0.8115302041527066,0.8338247683235046,"[[3490  932]
 [ 789 3959]]",0.6512903225806451,0.2872053872053872,0.36408493537525793,0.4409790492009412,0.874834961711117,0.6722164412070759,0.20261852050404106,0.8066129032258065,0.8242424242424242,-0.017629521016617744
7,0.8078516902944384,0.820093935062283,0.8064517726905032,0.8458298230834035,"[[3392 1030]
 [ 732 4016]]",0.6675886755613407,0.31183862433862436,0.35575005122271636,0.4671119144979735,0.8793558606124604,0.7135416666666666,0.16581419394579378,0.8000325414904003,0.8237433862433863,-0.023710844752986016
8,0.8092693565976009,0.8194860150686345,0.8082788172943965,0.8361415332771693,"[[3451  971]
 [ 778 3970]]",0.6551779416479641,0.291268758526603,0.36390918312136106,0.444564354217996,0.8821808510638298,0.6609311740890689,0.22124967697476094,0.8055466495671689,0.8171896316507503,-0.011642982083581388
9,0.8115594329334788,0.8226236912338329,0.8103660585789746,0.8439342881213142,"[[3435  987]
 [ 741 4007]]",0.6622366288492707,0.30266666666666664,0.35956996218260406,0.45703703703703696,0.8907877169559413,0.6689930209371885,0.2217946960187528,0.8121555915721231,0.8103333333333333,0.0018222582387897868
10,0.811886586695747,0.8234571691740865,0.8105810554335621,0.8473041280539174,"[[3422 1000]
 [ 725 4023]]",0.6598268675857647,0.3093451568894952,0.3504817106962695,0.46882776692824857,0.8881822999470058,0.688911704312115,0.1992705956348908,0.8098749599230523,0.8161664392905866,-0.0062914793675343805
11,0.8154852780806979,0.8240798502807236,0.8147782093591169,0.8346672283066554,"[[3515  907]
 [ 785 3963]]",0.6527687296416939,0.2844884488448845,0.36828028079680936,0.43581813271147474,0.884594882729211,0.6465863453815262,0.2380085373476849,0.8172638436482085,0.8118811881188119,0.005382655529396541
12,0.8125408942202835,0.8234569169148609,0.8113681706349161,0.8443555181128897,"[[3442  980]
 [ 739 4009]]",0.6605856937109937,0.29476206778500513,0.3658236259259886,0.44621321743907394,0.8868622786148559,0.677720207253886,0.20914207136096985,0.8078092494799168,0.8226634714138994,-0.014854221933982559
