seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7763358778625954,0.7913317733238376,0.7747602170658541,0.8190817186183657,"[[3230 1192]
 [ 859 3889]]",0.6627181046902513,0.32192952446117,0.34078858022908126,0.4857714346156834,0.8566570755950824,0.6637837837837838,0.19287329181129864,0.7738114294861533,0.7817310981867944,-0.007919668700641092
1,0.7596510359869139,0.7534675615212527,0.7615051418255281,0.7093513058129739,"[[3598  824]
 [1380 3368]]",0.6147594278283485,0.1358515573227303,0.47890787050561817,0.22098328414844973,0.8059978768577495,0.3377551020408163,0.46824277481693316,0.7600780234070221,0.7587806494367131,0.0012973739703090459
2,0.5323882224645583,0.658054226475279,0.5199804188066331,0.8689974726200506,"[[ 756 3666]
 [ 622 4126]]",0.8754402817803394,0.7948016415868673,0.08063864019347211,0.9078879029538356,0.883127138720716,0.8124341412012644,0.07069299751945157,0.590617995517131,0.40800273597811215,0.18261525953901886
3,0.5215921483097056,0.681524500907441,0.5043767148785444,0.9886267902274642,"[[  89 4333]
 [  54 4694]]",0.9876582785702837,0.977482088024565,0.01017619054571861,0.98969664835853,0.9894347596407819,0.9854469854469855,0.003987774193796367,0.606347171020997,0.34118048447628796,0.26516668654470904
4,0.6295528898582333,0.5657676083343985,0.6355782834315823,0.4660909856781803,"[[3560  862]
 [2535 2213]]",0.34393767245577017,0.3177135260884015,0.026224146367368695,0.9237532016189908,0.4487519915029209,0.5325865580448065,-0.08383456654188559,0.5934101606882,0.7035559986706547,-0.1101458379824547
5,0.765103598691385,0.7721599323037867,0.7649693822379258,0.7687447346251053,"[[3366 1056]
 [1098 3650]]",0.6476499189627228,0.23666666666666666,0.41098325229605615,0.36542375709042374,0.8393563703508309,0.4890282131661442,0.3503281571846867,0.7693679092382496,0.7563333333333333,0.013034575904916301
6,0.7980370774263904,0.8033552771289021,0.7980842799100918,0.7967565290648694,"[[3535  887]
 [ 965 3783]]",0.6306451612903226,0.2558922558922559,0.37475290539806666,0.4057626564020426,0.8484288354898336,0.5931321540062435,0.2552966814835901,0.795,0.8043771043771044,-0.009377104377104373
7,0.7947655398037078,0.8090503246753248,0.7931083934695824,0.8397219882055602,"[[3301 1121]
 [ 761 3987]]",0.6757240481614057,0.3158068783068783,0.35991716985452743,0.4673607209424691,0.8751319957761352,0.7,0.17513199577613525,0.7866905304262936,0.8111772486772487,-0.024486718250955164
8,0.7850599781897492,0.795220779220779,0.7842872354166976,0.8060235888795282,"[[3372 1050]
 [ 921 3827]]",0.641391471625521,0.2987721691678035,0.3426193024577175,0.46581874313140675,0.8585106382978723,0.6062753036437247,0.2522353346541476,0.790798332798974,0.7728512960436562,0.017947036755317836
9,0.7282442748091603,0.7498996386993175,0.7260837194131966,0.7868576242628476,"[[2942 1480]
 [1012 3736]]",0.627066450567261,0.449,0.17806645056726095,0.7160325665546653,0.8058744993324433,0.715852442671984,0.09002205666045926,0.7442463533225283,0.6953333333333334,0.04891301998919495
10,0.7270447110141767,0.7406486374468968,0.726097627051996,0.7527379949452401,"[[3093 1329]
 [1174 3574]]",0.627124078230202,0.3379945429740791,0.2891295352561229,0.5389596009898531,0.7893481717011129,0.6108829568788501,0.17846521482226285,0.7229881372234691,0.735675306957708,-0.01268716973423889
11,0.8112322791712104,0.8192922016911995,0.8106712169412569,0.8264532434709352,"[[3515  907]
 [ 824 3924]]",0.641042345276873,0.2953795379537954,0.3456628073230776,0.46078007190963,0.8715351812366737,0.6566265060240963,0.2149086752125774,0.8130293159609121,0.8075907590759076,0.005438556885004497
12,0.5696837513631406,0.6854272959183673,0.5573076163945533,0.9054338668913227,"[[ 925 3497]
 [ 449 4299]]",0.875500080012802,0.7959602875727491,0.07953979244005294,0.9091493030601552,0.9172614327253502,0.8590673575129534,0.058194075212396834,0.6297007521203393,0.44128723040054774,0.18841352171979153
