seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7877862595419848,0.803275374039628,0.7859805380693988,0.8367733782645325,"[[3251 1171]
 [ 775 3973]]",0.6723227149031535,0.32295586725966474,0.3493668476434888,0.48035840542169655,0.8710436829714884,0.6951351351351351,0.17590854783635324,0.7818152713302385,0.8005473828258638,-0.01873211149562526
1,0.7634678298800436,0.7594543639791504,0.7650278705271224,0.7211457455770851,"[[3577  845]
 [1324 3424]]",0.6228868660598179,0.1447978793903247,0.4780889866694932,0.23246256628634593,0.8160828025477707,0.35612244897959183,0.4599603535681788,0.7643042912873862,0.7617627567925779,0.0025415344948083174
2,0.733587786259542,0.7746102038933481,0.7280374568910827,0.884161752316765,"[[2529 1893]
 [ 550 4198]]",0.755363432596862,0.469562243502052,0.28580118909481,0.6216375101555356,0.9210318504869702,0.7365648050579557,0.1844670454290145,0.7568043547870638,0.6839945280437757,0.07280982674328806
3,0.683969465648855,0.7589419397770754,0.6737642300864521,0.9608256107834878,"[[1710 2712]
 [ 186 4562]]",0.8668055778169579,0.6366427840327533,0.23016279378420457,0.7344701053218099,0.9788695192815636,0.8898128898128899,0.08905662946867376,0.714377304055137,0.6192425793244627,0.0951347247306743
4,0.7549618320610687,0.7682788491285966,0.7538715151362738,0.7845408593091828,"[[3198 1224]
 [1023 3725]]",0.6347995455283233,0.34496510468594216,0.28983444084238114,0.5434236793582433,0.8337758895379713,0.5957230142566191,0.23805287528135222,0.7732510956013634,0.7175141242937854,0.05573697130757804
5,0.7870229007633588,0.798887859128823,0.7859188110150024,0.8169755686604886,"[[3338 1084]
 [ 869 3879]]",0.6769854132901134,0.262,0.4149854132901134,0.38700981565717024,0.8799788973885518,0.567398119122257,0.3125807782662948,0.7899513776337115,0.781,0.008951377633711455
6,0.8033805888767721,0.8105097214923804,0.8030580230501014,0.8121314237573716,"[[3511  911]
 [ 892 3856]]",0.6356451612903226,0.2781144781144781,0.35753068317584447,0.43753102367667196,0.8547663057829417,0.644120707596254,0.2106455981866877,0.797741935483871,0.8151515151515152,-0.017409579667644226
7,0.7997818974918212,0.8146951958013726,0.7979292478406009,0.8500421229991575,"[[3298 1124]
 [ 712 4036]]",0.6784900748454279,0.3273809523809524,0.3511091224644755,0.48251398880895285,0.8841077085533263,0.715625,0.16848270855332637,0.7949886104783599,0.8095238095238095,-0.014535199045449643
8,0.7972737186477644,0.806374336006666,0.7966095939083779,0.815290648694187,"[[3440  982]
 [ 877 3871]]",0.6478037832638667,0.27694406548431105,0.3708597177795556,0.42751226936182435,0.8710106382978723,0.6032388663967612,0.2677717719011111,0.7994549535107406,0.7926330150068213,0.0068219385039193225
9,0.7591057797164668,0.7787681522283426,0.7569027612187968,0.818871103622578,"[[3073 1349]
 [ 860 3888]]",0.6628849270664505,0.38233333333333336,0.28055159373311717,0.5767718011409944,0.8606141522029372,0.6630109670987039,0.19760318510423336,0.7748784440842788,0.7266666666666667,0.04821177741761207
10,0.763576881134133,0.7853040205981382,0.760940882247261,0.8350884582982309,"[[3037 1385]
 [ 783 3965]]",0.6922090413594101,0.3519781718963165,0.34023086946309355,0.5084853719984304,0.885002649708532,0.6416837782340863,0.24331887147444575,0.7736453991663995,0.7421555252387448,0.03148987392765468
11,0.8193020719738277,0.8279514069151697,0.8185493704030967,0.8397219882055602,"[[3526  896]
 [ 761 3987]]",0.6456026058631922,0.3033003300330033,0.3423022758301889,0.4697941539865389,0.8805970149253731,0.6857429718875502,0.19485404303782294,0.8195439739413681,0.8188118811881188,0.0007320927532493693
12,0.7015267175572519,0.7538004857425565,0.6948566884502203,0.8824768323504634,"[[2243 2179]
 [ 558 4190]]",0.7702032325172028,0.5326942827798699,0.23750894973733294,0.6916282096595484,0.9090668781390431,0.778238341968912,0.13082853617013113,0.725076012161946,0.6511468675111264,0.07392914465081957
13,0.7848418756815704,0.7943291983738142,0.7841930730814032,0.8024431339511373,"[[3387 1035]
 [ 938 3810]]",0.6514784294716433,0.2727272727272727,0.37875115674437054,0.4186282467532467,0.860354403596932,0.5760082730093071,0.2843461305876249,0.7888188721925998,0.7765850385776585,0.012233833614941347
14,0.6801526717557251,0.7587398206794439,0.669418569250706,0.9713563605728728,"[[1625 2797]
 [ 136 4612]]",0.860408951859604,0.6978709023318689,0.1625380495277351,0.8110920984998573,0.9778830963665087,0.9452631578947368,0.032619938471771914,0.724037997101916,0.5880364988171679,0.13600149828474806
15,0.660196292257361,0.7491951062459755,0.6484005072287334,0.9802021903959562,"[[1400 3022]
 [  94 4654]]",0.8912903225806451,0.7239057239057239,0.16738459867492117,0.812199690230816,0.9899789029535865,0.9414225941422594,0.04855630881132711,0.7080645161290322,0.5602693602693603,0.14779515585967196
16,0.7535441657579062,0.7755264203416765,0.7510119236093409,0.8222409435551812,"[[3006 1416]
 [ 844 3904]]",0.6779552715654952,0.3697594501718213,0.30819582139367385,0.5454039015258251,0.86409307244844,0.6583850931677019,0.20570797928073814,0.7619808306709265,0.7353951890034365,0.02658564166749
17,0.8140676117775354,0.8239182071672002,0.8131064349692145,0.8401432181971357,"[[3476  946]
 [ 759 3989]]",0.6391255425172802,0.32519498134961006,0.3139305611676701,0.5088123689577274,0.8681611956231652,0.7352647352647352,0.13289646035842995,0.8043722874135991,0.8345201763309597,-0.030147888917360532
18,0.7945474372955289,0.8029700899393433,0.7940312510359285,0.8085509688289806,"[[3447  975]
 [ 909 3839]]",0.6392086914220853,0.29037629037629037,0.3488324010457949,0.45427462779060956,0.8615879828326181,0.6147058823529412,0.24688210047967685,0.7979568671963677,0.7875457875457875,0.01041107965058019
19,0.7354416575790622,0.7611264277274518,0.7325449131001194,0.8140269587194608,"[[2879 1543]
 [ 883 3865]]",0.6919621370126745,0.372829417773238,0.3191327192394365,0.5388003155531167,0.8561534363345764,0.6549295774647887,0.20122385886978766,0.7370447617519653,0.7320394960844399,0.00500526566752546
