seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8074154852780807,0.8169568822553896,0.8065817519585957,0.8300336983993261,"[[3463  959]
 [ 807 3941]]",0.6425484232431568,0.3031132398221006,0.3394351834210561,0.4717360262004639,0.8629348679047868,0.6940540540540541,0.1688808138507327,0.8016647991035697,0.8197057817310982,-0.0180409826275285
1,0.7980370774263904,0.8102070096331216,0.796764483091169,0.8325610783487785,"[[3365 1057]
 [ 795 3953]]",0.6570221066319896,0.3207422133863485,0.336279893245641,0.4881756795528987,0.8702229299363057,0.6877551020408164,0.1824678278954893,0.7964889466840052,0.8011928429423459,-0.0047038962583407
2,0.8037077426390403,0.8127730393176618,0.8030012970302047,0.8228727885425442,"[[3463  959]
 [ 841 3907]]",0.6426512968299711,0.2913816689466484,0.3512696278833227,0.4534055566120493,0.8623321926822848,0.6649104320337197,0.1974217606485651,0.79811079090618,0.8156634746922025,-0.0175526837860224
3,0.8019629225736096,0.8131687242798354,0.8008428029112308,0.8323504633529908,"[[3402 1020]
 [ 796 3952]]",0.6496233370732489,0.3135448652337086,0.3360784718395403,0.4826564061665699,0.8705758055995774,0.681912681912682,0.1886631236868954,0.8001282256771919,0.8058683043329922,-0.0057400786558002
4,0.8114503816793893,0.8222107969151671,0.8103228591666771,0.8420387531592249,"[[3443  979]
 [ 750 3998]]",0.653303035221555,0.3163841807909605,0.3369188544305945,0.4842839597150577,0.8799787573021773,0.6965376782077393,0.183441079094438,0.8112319428664178,0.811897640412097,-0.0006656975456792
5,0.8025081788440567,0.8115308564887086,0.8018196240212737,0.8211878685762426,"[[3460  962]
 [ 849 3899]]",0.6447325769854133,0.2943333333333333,0.35039924365208,0.4565200268141444,0.8601951991558956,0.6666666666666666,0.1935285324892289,0.7978930307941653,0.812,-0.0141069692058347
6,0.8027262813522356,0.8101983002832861,0.8023407794450432,0.81318449873631,"[[3500  922]
 [ 887 3861]]",0.6312903225806452,0.2925925925925925,0.3386977299880526,0.4634834118738052,0.8513335093741748,0.6628511966701353,0.1884823127040396,0.7979032258064516,0.8127946127946128,-0.0148913869881612
7,0.8021810250817885,0.8137959351262575,0.800975782800023,0.8348778433024431,"[[3392 1030]
 [ 784 3964]]",0.6526195899772209,0.3250661375661375,0.3275534524110833,0.498094360877956,0.8619324181626188,0.728125,0.1338074181626187,0.7935242434103482,0.8197751322751323,-0.0262508888647841
8,0.808287895310796,0.8166075526809932,0.8076959348162307,0.8243470935130581,"[[3498  924]
 [ 834 3914]]",0.633376082077589,0.3025238744884038,0.3308522075891851,0.4776370359551159,0.8632978723404255,0.6761133603238867,0.1871845120165388,0.8045848028214171,0.8161664392905866,-0.0115816364691695
9,0.8055616139585605,0.8151373768792118,0.8047371799195033,0.827927548441449,"[[3456  966]
 [ 817 3931]]",0.6450567260940032,0.3056666666666666,0.3393900594273366,0.4738601340033501,0.8731642189586115,0.6590229312063809,0.2141412877522306,0.8079416531604539,0.8006666666666666,0.0072749864937872
