seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8175572519083969,0.8281105517312237,0.8164064033055218,0.8487784330244313,"[[3467  955]
 [ 718 4030]]",0.6558348007043381,0.3037974683544304,0.3520373323499077,0.4632225493800651,0.8817682448339,0.7124324324324325,0.1693358124014675,0.8114294861533536,0.830653438248375,-0.0192239520950213
1,0.8077426390403489,0.8184533003810113,0.8066647691312908,0.8369839932603201,"[[3433  989]
 [ 774 3974]]",0.6539336801040312,0.3114645460569913,0.3424691340470398,0.4762937825857845,0.875,0.6908163265306122,0.1841836734693878,0.8054291287386216,0.8124585818422797,-0.0070294531036581
2,0.8115594329334788,0.8213399503722085,0.8106377814534588,0.8365627632687447,"[[3470  952]
 [ 776 3972]]",0.6484149855907781,0.2989056087551299,0.3495093768356482,0.4609788721690226,0.8757567780994999,0.6796628029504742,0.1960939751490257,0.8086775536343259,0.8177154582763337,-0.0090379046420078
3,0.8102508178844057,0.8221222653854018,0.8089005173260603,0.8468828980623421,"[[3409 1013]
 [ 727 4021]]",0.6592402628626383,0.3142272262026612,0.345013036659977,0.4766505383609052,0.8858954041204438,0.6933471933471933,0.1925482107732504,0.8091040230806219,0.812691914022518,-0.003587890941896
4,0.8219193020719738,0.8317708869887711,0.820874899074361,0.8502527379949453,"[[3500  922]
 [ 711 4037]]",0.6494075637071904,0.318378198737122,0.3310293649700684,0.4902594557409168,0.8842272968667021,0.719959266802444,0.164268030064258,0.8203213763999351,0.8251910933865071,-0.004869716986572
5,0.8116684841875682,0.8215355998759947,0.8107275619299534,0.8371946082561078,"[[3468  954]
 [ 773 3975]]",0.6515397082658023,0.303,0.3485397082658023,0.4650522388059701,0.8736481139541018,0.6927899686520376,0.1808581453020642,0.8076175040518638,0.82,-0.0123824959481361
6,0.8164667393675027,0.8265484901576831,0.8154309634335789,0.8445661331086773,"[[3477  945]
 [ 738 4010]]",0.6485483870967742,0.3144781144781144,0.3340702726186597,0.4848953767133324,0.8772115130710325,0.7159209157127991,0.1612905973582333,0.812258064516129,0.8252525252525252,-0.0129944607363962
7,0.8079607415485278,0.8196989863827173,0.8066657693381907,0.8430918281381634,"[[3406 1016]
 [ 745 4003]]",0.6583143507972665,0.3217592592592592,0.3365550915380073,0.4887623349993591,0.8730200633579726,0.725,0.1480200633579725,0.8014969085584119,0.8210978835978836,-0.0196009750394716
8,0.8163576881134132,0.8265348166460651,0.8153023654035864,0.8449873631002527,"[[3474  948]
 [ 736 4012]]",0.647643475472908,0.3137789904502046,0.3338644850227034,0.4844934015911822,0.8829787234042553,0.7004048582995951,0.1825738651046602,0.8140429624879769,0.8212824010914052,-0.0072394386034282
9,0.8133042529989095,0.8243381900266776,0.8120975596094735,0.8460404380791913,"[[3441  981]
 [ 731 4017]]",0.6539708265802269,0.321,0.3329708265802268,0.4908475836431227,0.8846461949265687,0.7018943170488534,0.1827518778777153,0.812965964343598,0.814,-0.0010340356564019
10,0.8166848418756816,0.8264684628884071,0.8157114500256625,0.8430918281381634,"[[3486  936]
 [ 745 4003]]",0.6447579352356525,0.3127557980900409,0.3320021371456115,0.4850747559636189,0.8807631160572337,0.6971252566735113,0.1836378593837223,0.8159666559794806,0.818212824010914,-0.0022461680314334
11,0.8185387131952018,0.8275647668393783,0.8177112922787457,0.8409856781802865,"[[3513  909]
 [ 755 3993]]",0.6478827361563518,0.3049504950495049,0.3429322411068469,0.4706877927611765,0.8819296375266524,0.6867469879518072,0.1951826495748452,0.8188925081433225,0.8178217821782178,0.0010707259651047
12,0.8147219193020719,0.8245740836344863,0.8137538069779768,0.8409856781802865,"[[3478  944]
 [ 755 3993]]",0.6449031845095216,0.3105100992810681,0.3343930852284534,0.4814832780167232,0.8741739360296061,0.7108808290155441,0.163293107014062,0.8081293006881101,0.828825744608011,-0.0206964439199008
