seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.7757906215921483,0.7789722640292409,0.7762599558689665,0.7630581297388374,"[[3491  931]
 [1125 3623]]",0.605730750760365,0.2634279849469723,0.3423027658133927,0.43489287049781605,0.8087889092335862,0.5740540540540541,0.23473485517953208,0.7722106611173363,0.7834416695176188,-0.011231008400282572
1,0.793020719738277,0.7978270132083511,0.7931780269213784,0.7887531592249368,"[[3527  895]
 [1003 3745]]",0.6206111833550065,0.27236580516898606,0.34824537818602047,0.4388670595598749,0.8365180467091295,0.6051020408163266,0.23141600589280298,0.7916124837451235,0.7958913187541418,-0.004278835009018267
2,0.8083969465648855,0.8195913338125064,0.8072112155009589,0.840564448188711,"[[3422 1000]
 [ 757 3991]]",0.6512968299711815,0.31566347469220246,0.3356333552789791,0.4846691403459923,0.8744406422742828,0.7049525816649105,0.16948806060937227,0.8041946845981428,0.8173734610123119,-0.013178776414169091
3,0.7789531079607416,0.7951490651844365,0.7771245632906159,0.8285593934288121,"[[3209 1213]
 [ 814 3934]]",0.6701394454239461,0.3295803480040942,0.3405590974198519,0.4918086082749447,0.8700475435816165,0.6652806652806653,0.2047668783009512,0.7789709889405353,0.7789150460593655,5.594288116983481e-05
4,0.7913849509269356,0.7965542911836648,0.7914819617924773,0.7887531592249368,"[[3512  910]
 [1003 3745]]",0.6211653952280474,0.27517447657028915,0.3459909186577582,0.44299711265992986,0.8377588953797133,0.6008146639511202,0.2369442314285931,0.7917545852945951,0.7906281156530409,0.001126469641554162
5,0.7841875681570338,0.7959583462212598,0.7831264714948654,0.8129738837405224,"[[3331 1091]
 [ 888 3860]]",0.6437601296596435,0.3263333333333333,0.31742679632631016,0.5069175897952333,0.8475336322869955,0.6760710553814002,0.1714625769055953,0.7833063209076175,0.786,-0.002693679092382495
6,0.8001090512540894,0.813473084359418,0.7985712377836635,0.8418281381634373,"[[3340 1082]
 [ 751 3997]]",0.6625806451612903,0.3269360269360269,0.3356446182252634,0.4934282782384048,0.8753630842355427,0.7096774193548387,0.1656856648807039,0.7959677419354839,0.8087542087542088,-0.012786466818724862
7,0.7788440567066521,0.7965081276339554,0.7767397694075384,0.8359309182813817,"[[3173 1249]
 [ 779 3969]]",0.6687276277253498,0.3664021164021164,0.3023255113232334,0.5479093448679824,0.8608764519535375,0.7375,0.12337645195353741,0.7761145460462089,0.7843915343915344,-0.008276988345325531
8,0.7916030534351145,0.7915803250081798,0.7926086710508117,0.7643218197135636,"[[3630  792]
 [1119 3629]]",0.594581596665598,0.24283765347885403,0.35174394318674396,0.4084177089245326,0.8191489361702128,0.555668016194332,0.26348091997588075,0.7901571016351394,0.7946793997271487,-0.004522298092009325
9,0.7828789531079607,0.7958995386981035,0.7815988221563547,0.8176074136478517,"[[3297 1125]
 [ 866 3882]]",0.6494327390599676,0.3333333333333333,0.31609940572663425,0.5132684468846186,0.8582109479305741,0.6660019940179461,0.19220895391262793,0.7854132901134522,0.7776666666666666,0.007746623446785561
10,0.8101417666303162,0.8184377933048286,0.8095405068553229,0.8264532434709352,"[[3505  917]
 [ 824 3924]]",0.6327348509137544,0.3049113233287858,0.3278235275849686,0.4818943083164342,0.865129835718071,0.6765913757700205,0.18853845994805052,0.8090734209682591,0.8124147339699863,-0.003341313001727242
11,0.8016357688113414,0.8166885014612516,0.7997272388154959,0.8534119629317607,"[[3299 1123]
 [ 696 4052]]",0.6785016286644951,0.333003300330033,0.34549832833446215,0.4907921901167553,0.8955223880597015,0.6947791164658634,0.2007432715938381,0.8048859934853421,0.7950495049504951,0.009836488534846977
12,0.7954198473282442,0.8066378066378065,0.7943613193129093,0.8241364785172705,"[[3381 1041]
 [ 835 3913]]",0.6473035685709714,0.3111947963026361,0.3361087722683353,0.48075557035727384,0.8614855934443564,0.677720207253886,0.18376538619047034,0.7903664586333813,0.8062307428962684,-0.015864284262887107
13,0.7953107960741549,0.8098470266437038,0.7935961134055539,0.8418281381634373,"[[3296 1126]
 [ 751 3997]]",0.6666666666666666,0.33445152633344516,0.33221514033322147,0.5016772895001678,0.8807193864057128,0.6897621509824199,0.1909572354232929,0.7985134916787849,0.7886615229788662,0.009851968699918778
14,0.7820065430752454,0.7967463141840365,0.7804147677024237,0.8251895534962089,"[[3253 1169]
 [ 830 3918]]",0.6670423442279826,0.3190266982088543,0.34801564601912827,0.4782705340514589,0.8601895734597157,0.6852631578947368,0.1749264155649789,0.7734664305264852,0.7999324095978371,-0.02646597907135184
15,0.8061068702290076,0.8161703887510339,0.8051783187912774,0.8312973883740522,"[[3445  977]
 [ 801 3947]]",0.6433870967741936,0.3148148148148148,0.32857228195937876,0.4893085615071075,0.8662974683544303,0.6924686192468619,0.17382884910756846,0.8046774193548387,0.8090909090909091,-0.004413489736070364
16,0.801308615049073,0.8085732296700988,0.8009717819724232,0.81044650379107,"[[3500  922]
 [ 900 3848]]",0.6295527156549521,0.28487972508591064,0.34467299056904144,0.45251131160563324,0.8588048651507139,0.6211180124223602,0.23768685272835366,0.8039936102236421,0.7955326460481099,0.008460964175532215
17,0.7934569247546347,0.7990237691001698,0.793475040741761,0.7929654591406908,"[[3511  911]
 [ 983 3765]]",0.6134062047902267,0.29162427941675145,0.3217819253734752,0.47541788318962547,0.8310648518815053,0.6503496503496503,0.18071520153185494,0.7854042758398971,0.8104442183791115,-0.025039942539214377
18,0.792257360959651,0.803668968360301,0.7911909492134944,0.8211878685762426,"[[3366 1056]
 [ 849 3899]]",0.6463434408950868,0.3226773226773227,0.3236661182177641,0.4992350850353861,0.8615879828326181,0.6735294117647059,0.18805857106791213,0.7908221177233663,0.7952047952047953,-0.004382677481428954
19,0.7940021810250818,0.803984642523607,0.7931941731184775,0.8159224936815501,"[[3407 1015]
 [ 874 3874]]",0.6433499117599871,0.2992849846782431,0.344064927081744,0.4651978327928901,0.8609483217900906,0.6458752515090543,0.21507307028103628,0.791432696935665,0.7994552264215186,-0.00802252948585358
