seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.786041439476554,0.8009334415584416,0.7843732532100925,0.8312973883740522,"[[3261 1161]
 [ 801 3947]]",0.6726428685769169,0.30995552514539854,0.36268734343151837,0.4608025144177308,0.8713052576510594,0.6659459459459459,0.20535931170511346,0.7818152713302385,0.7950735545672255,-0.013258283236986967
1,0.7954198473282442,0.8046240366590293,0.7947494948478866,0.8136057287278854,"[[3431  991]
 [ 885 3863]]",0.6446684005201561,0.294234592445328,0.35043380807482805,0.4564123077971906,0.8580148619957537,0.6428571428571429,0.21515771913861081,0.793888166449935,0.7985420808482439,-0.004653914398308867
2,0.8097055616139586,0.8206024467975737,0.8085680676040796,0.840564448188711,"[[3434  988]
 [ 757 3991]]",0.6639449247518412,0.28454172366621067,0.3794032010856305,0.428562239213685,0.8883916820215846,0.649104320337197,0.23928736168438758,0.808517451168748,0.8122435020519836,-0.003726050883235632
3,0.7815703380588876,0.7940783386450087,0.7803972402672249,0.8133951137320977,"[[3305 1117]
 [ 886 3862]]",0.6520275685205963,0.3108154213578983,0.341212147162698,0.4766906130412801,0.8560486001056524,0.6455301455301455,0.21051845457550689,0.7800929636159641,0.7847151142954623,-0.004622150679498116
4,0.795092693565976,0.8091416962925343,0.7934786605381607,0.8388795282224094,"[[3308 1114]
 [ 765 3983]]",0.6786236000649245,0.3044200731139914,0.3742035269509331,0.44858456600222457,0.8876792352628784,0.6517311608961304,0.23594807436674803,0.7953254341827626,0.7946161515453639,0.0007092826373986671
5,0.7864776444929117,0.7958715596330276,0.7858347936354072,0.8039174389216512,"[[3395 1027]
 [ 931 3817]]",0.6414910858995138,0.29533333333333334,0.3461577525661804,0.46038571669193196,0.8464785017145872,0.6353187042842215,0.21115979743036561,0.7842787682333874,0.791,-0.006721231766612656
6,0.8011995637949837,0.8150552906563864,0.7995466776556065,0.8460404380791913,"[[3330 1092]
 [ 731 4017]]",0.6724193548387096,0.3164983164983165,0.3559210383403931,0.4706859108394249,0.8848692896752046,0.6930280957336108,0.19184119394159382,0.797741935483871,0.8084175084175084,-0.010675572933637412
7,0.7822246455834242,0.7964944461428717,0.7807185448266061,0.823083403538332,"[[3265 1157]
 [ 840 3908]]",0.6609176700292874,0.3316798941798942,0.3292377758493932,0.501847520834473,0.8561246040126715,0.6927083333333334,0.16341627067933817,0.7780670354702245,0.7906746031746031,-0.012607567704378653
8,0.7996728462377317,0.8105208870551831,0.7986468724768591,0.8275063184498737,"[[3404 1018]
 [ 819 3929]]",0.6492465533824944,0.3059345156889495,0.34331203769354485,0.47121469354757217,0.8718085106382979,0.6589068825910931,0.2129016280472048,0.7989740301378647,0.8011596180081856,-0.0021855878703208598
9,0.7896401308615049,0.805524750478879,0.7877319479800964,0.8414069081718618,"[[3246 1176]
 [ 753 3995]]",0.6658022690437602,0.35433333333333333,0.31146893571042683,0.5321900357026939,0.8763684913217623,0.7108673978065803,0.16550109351518205,0.7910858995137764,0.7866666666666666,0.004419232847109766
