iter,acc,f1-score,auc,recall,cm,params
1,0.7945474372955289,0.8028463792381749,0.7940545415680272,0.8079191238416176,"[[3450  972]
 [ 912 3836]]","{'max_depth': 31, 'learning_rate': 0.2221, 'n_estimators': 1650}"
2,0.8054525627044711,0.8143986683312526,0.8047560885928022,0.8243470935130581,"[[3472  950]
 [ 834 3914]]","{'max_depth': 30, 'learning_rate': 0.2166, 'n_estimators': 650}"
3,0.8142857142857143,0.8239429339398326,0.8133636310291995,0.8393007582139849,"[[3482  940]
 [ 763 3985]]","{'max_depth': 3, 'learning_rate': 0.1582, 'n_estimators': 350}"
4,0.8083969465648855,0.8173026931475512,0.8076847896536312,0.8277169334456613,"[[3483  939]
 [ 818 3930]]","{'max_depth': 10, 'learning_rate': 0.1522, 'n_estimators': 850}"
5,0.8150490730643403,0.8243942845309589,0.8141861821321514,0.8384582982308341,"[[3493  929]
 [ 767 3981]]","{'max_depth': 4, 'learning_rate': 0.079, 'n_estimators': 1050}"
6,0.8073064340239913,0.8162246489859594,0.8066006606318946,0.8264532434709352,"[[3479  943]
 [ 824 3924]]","{'max_depth': 7, 'learning_rate': 0.1161, 'n_estimators': 1500}"
7,0.8141766630316248,0.8233830845771144,0.8133514856597003,0.8365627632687447,"[[3494  928]
 [ 776 3972]]","{'max_depth': 50, 'learning_rate': 0.0296, 'n_estimators': 1400}"
8,0.8149400218102508,0.8241997306536829,0.8140964016556568,0.8378264532434709,"[[3495  927]
 [ 770 3978]]","{'max_depth': 41, 'learning_rate': 0.1895, 'n_estimators': 200}"
9,0.8142857142857143,0.8238336609082446,0.8133869215612981,0.8386689132266217,"[[3485  937]
 [ 766 3982]]","{'max_depth': 38, 'learning_rate': 0.023, 'n_estimators': 1450}"
10,0.8121046892039259,0.8210985359775723,0.8113428796890176,0.8327716933445661,"[[3493  929]
 [ 794 3954]]","{'max_depth': 24, 'learning_rate': 0.1144, 'n_estimators': 700}"
11,0.783206106870229,0.791220331863054,0.7828308389125826,0.7933866891322662,"[[3415 1007]
 [ 981 3767]]","{'max_depth': 1, 'learning_rate': 0.0744, 'n_estimators': 100}"
12,0.8140676117775354,0.8235537617717065,0.81318407007621,0.8380370682392586,"[[3486  936]
 [ 769 3979]]","{'max_depth': 30, 'learning_rate': 0.0352, 'n_estimators': 1550}"
13,0.8094874591057797,0.8181534297907775,0.8088154997395651,0.8277169334456613,"[[3493  929]
 [ 818 3930]]","{'max_depth': 36, 'learning_rate': 0.1562, 'n_estimators': 600}"
14,0.8179934569247547,0.8277783510473635,0.8170061940431868,0.844776748104465,"[[3490  932]
 [ 737 4011]]","{'max_depth': 23, 'learning_rate': 0.0313, 'n_estimators': 200}"
15,0.8174482006543076,0.8277068752573076,0.8163632038932245,0.8468828980623421,"[[3475  947]
 [ 727 4021]]","{'max_depth': 45, 'learning_rate': 0.0141, 'n_estimators': 500}"
