seed,acc,f1,auc,recall,cm,SP_a_1,SP_a_0,SPD,DI,EO_a_1,EO_a_0,EOD,OA_a_1,OA_a_0,OAD
0,0.8179934569247547,0.8289433227426463,0.8167499981901017,0.8517270429654591,"[[3457  965]
 [ 704 4044]]",0.6659196414278854,0.2904550119739993,0.3754646294538861,0.4361712643753783,0.8901386345801726,0.692972972972973,0.19716566160719962,0.8115895629902353,0.8316797810468697,-0.020090218056634357
1,0.8113413304252999,0.8215759075907589,0.8103262408185767,0.8388795282224094,"[[3457  965]
 [ 765 3983]]",0.6615734720416124,0.29092113982770046,0.370652332213912,0.4397412413316986,0.8832271762208068,0.6683673469387755,0.2148598292820313,0.8078673602080624,0.8184227965540093,-0.010555436345946911
2,0.8122137404580153,0.8213692946058091,0.8114171331441132,0.8338247683235046,"[[3489  933]
 [ 789 3959]]",0.6559398014729427,0.2718878248974008,0.3840519765755419,0.41450118484480486,0.883127138720716,0.6364594309799789,0.2466677077407371,0.8101184758245277,0.8166894664842681,-0.006570990659740428
3,0.8094874591057797,0.820396833556081,0.8083496890975923,0.8403538331929233,"[[3433  989]
 [ 758 3990]]",0.659400544959128,0.29512111907198907,0.36427942588713896,0.4475597136339669,0.8858954041204438,0.6611226611226612,0.2247727429977826,0.808943740984132,0.8106448311156602,-0.0017010901315281934
4,0.8235550708833151,0.8331270627062706,0.8225554371818627,0.8506739679865206,"[[3513  909]
 [ 709 4039]]",0.6571985067359195,0.2987703555998671,0.3584281511360524,0.45461204268974587,0.8924588422729687,0.6904276985743381,0.20203114369863062,0.8225937347833144,0.8255234297108675,-0.002929694927553017
5,0.8198473282442749,0.8287017834923268,0.8190448538497679,0.8416175231676495,"[[3522  900]
 [ 752 3996]]",0.6585089141004862,0.2776666666666667,0.3808422474338195,0.42165969316596935,0.886837246109206,0.6624869383490073,0.2243503077601987,0.8168557536466775,0.826,-0.00914424635332245
6,0.818102508178844,0.8274006622516556,0.8172201906908743,0.8420387531592249,"[[3504  918]
 [ 750 3998]]",0.6545161290322581,0.28888888888888886,0.3656272401433692,0.44137779968238317,0.8840771058885661,0.676378772112383,0.20769833377618319,0.8146774193548387,0.8252525252525252,-0.01057510589768651
7,0.811123227917121,0.8223589743589742,0.8098982475232019,0.8443555181128897,"[[3429  993]
 [ 739 4009]]",0.6653107712333225,0.3019179894179894,0.3633927818153331,0.45379994203056073,0.8817317845828934,0.696875,0.18485678458289334,0.8052391799544419,0.8230820105820106,-0.01784283062756864
8,0.8174482006543076,0.8273514851485149,0.8164408390002198,0.844776748104465,"[[3485  937]
 [ 737 4011]]",0.6561397883937159,0.2916098226466576,0.3645299657470583,0.44443246363788175,0.8920212765957447,0.6649797570850202,0.2270415195107245,0.8164475793523566,0.8195770804911323,-0.0031295011387757476
9,0.8170119956379498,0.8270103092783505,0.8159885549658463,0.844776748104465,"[[3481  941]
 [ 737 4011]]",0.6607779578606159,0.2916666666666667,0.3691112911939492,0.441398904423187,0.892656875834446,0.6660019940179461,0.22665488181649984,0.8158833063209077,0.8193333333333334,-0.0034500270124256938
10,0.8190839694656489,0.8288808664259928,0.8180825595542239,0.8462510530749789,"[[3493  929]
 [ 730 4018]]",0.6532542481564604,0.29740791268758526,0.3558463354688751,0.45527130290678697,0.8897721250662427,0.6776180698151951,0.21215405525104758,0.8183712728438602,0.820600272851296,-0.002229000007435755
11,0.8169029443838605,0.8261364813088952,0.816046281192643,0.8401432181971357,"[[3502  920]
 [ 759 3989]]",0.6560260586319219,0.29075907590759076,0.3652669827243311,0.4432126926694655,0.8859275053304904,0.6676706827309237,0.2182568225995667,0.8156351791530945,0.8194719471947195,-0.003836768041625027
12,0.8189749182115594,0.8287247214197275,0.8179850155670296,0.8458298230834035,"[[3494  928]
 [ 732 4016]]",0.6548247719635142,0.29168093118794935,0.36314384077556483,0.4454335628038845,0.8865979381443299,0.6860103626943005,0.20058757545002937,0.813250120019203,0.8312221841834988,-0.017972064164295753
13,0.8123227917121046,0.822229108563165,0.8113671704280161,0.8382476832350463,"[[3469  953]
 [ 768 3980]]",0.654871546291808,0.2952029520295203,0.3596685942622877,0.4507799334099929,0.8793969849246231,0.6773526370217167,0.20204434790290648,0.8086928421392794,0.8198591076819859,-0.0111662655427065
14,0.8137404580152672,0.8245686113393591,0.8125731341759458,0.8454085930918281,"[[3448  974]
 [ 734 4014]]",0.6614071808082435,0.29739776951672864,0.3640094112915148,0.44964399865345706,0.8828330700368615,0.6957894736842105,0.187043596352651,0.8067943970375141,0.8283203785062521,-0.021525981468737965
15,0.8176663031624863,0.8282662284305669,0.816503947292716,0.8491996630160067,"[[3466  956]
 [ 716 4032]]",0.6616129032258065,0.2983164983164983,0.36329640490930815,0.4508928058416113,0.8910864978902954,0.6830543933054394,0.208032104584856,0.8167741935483871,0.8195286195286196,-0.0027544259802324556
16,0.8139585605234461,0.8249538272111635,0.8127526951289352,0.8466722830665543,"[[3444  978]
 [ 728 4020]]",0.6589456869009584,0.3,0.35894568690095846,0.4552727272727273,0.8905341089370703,0.6749482401656315,0.21558586877143882,0.8129392971246007,0.8161512027491409,-0.0032119056245402122
17,0.8140676117775354,0.8244981986618631,0.8129822187980218,0.8435130581297389,"[[3460  962]
 [ 743 4005]]",0.6560038579006591,0.30044082739911837,0.3555630305015407,0.45798637276400767,0.8828396050173473,0.6963036963036963,0.186535908713651,0.8051760167175696,0.8328246863343506,-0.02764866961678103
18,0.8140676117775354,0.8240635641316685,0.8130753809264164,0.8409856781802865,"[[3472  950]
 [ 755 3993]]",0.6572077185017026,0.2963702963702964,0.3608374221314062,0.45095376701594325,0.8878755364806867,0.6696078431372549,0.21826769334343188,0.8117399059510296,0.8188478188478189,-0.007107912896789248
19,0.8070883315158124,0.8177228232869655,0.8060329241439276,0.8357203032855939,"[[3433  989]
 [ 780 3968]]",0.654099149687149,0.299625468164794,0.354473681522355,0.45807347144252175,0.879328716036228,0.6710261569416499,0.20830255909457807,0.8028236804107172,0.8161389172625128,-0.013315236851795587
